window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4993855.895518987,460.94404976732034,826.8109731031387,0.06,0.161,0.15000000000000002,3.9817552133094455e-05,1.0345929443016964e-05,9.169314690979628e-06,2.030230799909786e-05,1.0762282953064531e-06,0.0,0.5087414305643028,0.10865738374623744,0.20680909418220747,51.21562111200001,622
1,250.0,600.0,350.0,4993855.895518987,460.94404976732034,826.8109731031387,4949821.5754887955,2938.342415200512,5386.727288386976,0.06,0.161,0.15000000000000002,1.8980771828036088e-07,2.352832987526104e-08,7.016255043440236e-08,9.61168379706975e-08,1.9380126648998875e-07,0.0,0.1821878926345492,0.04301393451246327,0.06908301757571667,50.517337774001135,750
2,600.0,1090.0,490.0,4949821.5754887955,2938.342415200512,5386.727288386976,4705294.623037503,8621.954679827553,17130.17841172145,0.06,0.161,0.15000000000000002,2.2417587211906117e-08,8.899191457686046e-09,8.007541200476053e-09,5.510854553744019e-09,5.920007577077159e-10,0.0,0.6965329404104545,0.07769290694190864,0.10689800499476909,52.78487390599912,750
3,1090.0,1776.0,686.0,4705294.623037503,8621.954679827553,17130.17841172145,4456650.292005991,6203.515305136542,12558.180419894197,0.06,0.161,0.15000000000000002,1.4677472577417302e-08,1.0050150278130776e-08,2.3888021423716946e-09,2.238520156914833e-09,2.4846139387180975e-09,0.0,1.8971586926680235,0.0612987581540328,0.11726205560102373,51.88850410100167,750
4,1776.0,2736.3999999999996,960.3999999999996,4456650.292005991,6203.515305136542,12558.180419894197,4440253.705801835,4622.839053520417,9257.950218863534,0.06,0.161,0.15000000000000002,6.076610368617715e-09,1.6222428561433735e-09,1.6934790305001412e-09,2.7608884819742003e-09,6.129448107790758e-11,0.0,1.2071649142131395,0.0334301899077008,0.08151018288742802,53.710274811999625,751
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4440253.705801835,4622.839053520417,9257.950218863534,4459469.955486724,4744.2192726977455,9481.737130967489,0.06,0.161,0.15000000000000002,3.559216918195142e-08,7.846251963482676e-09,9.411938021930037e-09,1.833397919653871e-08,5.3321135063765135e-08,0.0,2.589548831451487,0.07256969328500629,0.18871561271750614,51.26311014100065,751
6,4080.959999999999,5963.343999999998,1882.383999999999,4459469.955486724,4744.2192726977455,9481.737130967489,4457789.3534499705,4806.787661346959,9614.235351624926,0.06,0.161,0.15000000000000002,8.781202199035134e-09,1.7110087495581361e-09,2.7720409954677424e-09,4.298152454009256e-09,8.912905133892542e-09,0.0,1.1974006471771557,0.04035539437399562,0.09371116527289122,51.20911584100031,751
7,5963.343999999998,8598.681599999996,2635.337599999998,4457789.3534499705,4806.787661346959,9614.235351624926,4457088.460691337,4786.447455936358,9572.922077380521,0.06,0.161,0.15000000000000002,7.650077550146093e-10,3.834933102355953e-10,1.5929126612933625e-10,2.2222317864967773e-10,1.8808754669142447e-10,0.0,0.5684185969035017,0.009746962611440676,0.021462907866043508,50.67066718299975,751
8,8598.681599999996,11598.681599999996,3000.0,4457088.460691337,4786.447455936358,9572.922077380521,4457327.122267404,4790.351834778277,9580.70257134413,0.06,0.161,0.15000000000000002,1.7367442251665769e-09,5.2497709039873894e-11,1.337235036452369e-09,3.47011479674334e-10,3.16284969017909e-11,0.0,0.2103164581448555,0.02819394483520242,0.026762239168223657,50.84120547299972,750
9,11598.681599999996,14598.681599999996,3000.0,4457327.122267404,4790.351834778277,9580.70257134413,4457284.739715328,4790.297726841619,9580.641720850499,0.06,0.161,0.15000000000000002,3.147664500130332e-10,2.076662429162666e-11,2.2616014592194134e-10,6.783967979946525e-11,8.013990001894658e-12,0.0,0.13227438395990038,0.011597782099520362,0.011836018053057866,50.481823715001156,751
10,14598.681599999996,17598.681599999996,3000.0,4457284.739715328,4790.297726841619,9580.641720850499,4457489.326955783,4791.391744773735,9581.928721680228,0.06,0.161,0.15000000000000002,4.241351264976688e-08,4.499934281875156e-10,3.3133482863806176e-08,8.830036357773181e-09,1.6540554510488145e-09,0.0,0.6157325139811999,0.14038383664246884,0.13504408078176522,50.61652958400009,750
11,17598.681599999996,20000.0,2401.3184000000037,4457489.326955783,4791.391744773735,9581.928721680228,4457313.8107779985,4790.286546639915,9580.594670880584,0.06,0.161,0.15000000000000002,9.911789714885953e-10,5.3999062054876024e-11,7.100730357095418e-10,2.2710687372417742e-10,5.445833180560242e-10,0.0,0.21328992224075297,0.020553808123293323,0.021658991307009875,50.50603851499909,750
