component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,0.00011350666065923966,0.9999939679506986,520.8432818179646,0.0009142833067195317,2081.547817444429,EE,0.001,1.188118811881188,m=6e-6,6e-06,2
E,0.0023522158290052693,0.9999653484236403,11.583972229362379,0.001355608773044017,44.47070713578432,EE,0.001,1.188118811881188,m=6e-6,6e-06,2
I,0.0024241513950902863,0.9999640816407626,23.79968525997245,0.0013820006086415868,91.75316641117752,EE,0.001,1.188118811881188,m=6e-6,6e-06,2
