component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,0.0005151188128315348,0.9999444124793544,2277.2717675259146,0.002310383506176704,9122.104039528407,EE,0.001,1.188118811881188,m=1e-6,1e-06,1
E,0.009064074450369334,0.999721038850453,66.90438420966174,0.0034627964329477356,313.3992593206276,EE,0.001,1.188118811881188,m=1e-6,1e-06,1
I,0.009219616673109918,0.999713412441569,135.47332864948007,0.003500468523747796,634.0966102043276,EE,0.001,1.188118811881188,m=1e-6,1e-06,1
