window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4999279.058900785,0.7937257173193534,2.4194021866276314,0.06,0.26,0.15000000000000002,1.4585132617427141e-05,1.7293923264489952e-06,4.17419934942683e-06,8.681540941551315e-06,1.97091068531262e-07,0.0,0.051921440296466934,0.026167484078696984,0.04633251983964922,54.062320301,625
1,250.0,600.0,350.0,4999279.058900785,0.7937257173193534,2.4194021866276314,4999485.498135433,0.0019418192265276146,0.005917216286221074,0.06,0.26,0.15000000000000002,8.482013188018551e-08,6.181367143135749e-09,1.962142350074043e-08,5.901734123630933e-08,8.833724899974088e-09,0.0,0.0028061107298953587,1.027743662012025e-05,2.2277491116655804e-05,52.4933344279998,751
2,600.0,1090.0,490.0,4999485.498135433,0.0019418192265276146,0.005917216286221074,4999684.933010895,4.320912271326412e-07,1.3164306021431948e-06,0.06,0.26,0.15000000000000002,4.1305974875099265e-07,6.077095216754847e-09,6.397153911174074e-08,3.4301111442249703e-07,9.463405856686542e-08,0.0,0.001836965817485573,1.6525592205769476e-08,5.977445383995648e-08,52.91276574600033,751
3,1090.0,1776.0,686.0,4999684.933010895,4.320912271326412e-07,1.3164306021431948e-06,4999841.292857103,4.981166137183281e-09,1.3608353702675652e-08,0.06,0.26,0.15000000000000002,8.959254182487006e-07,8.347190134521042e-09,4.4970310798408564e-07,4.3787512013009397e-07,3.546170723886756e-08,0.0,0.0013711217552925931,4.182470797948282e-10,2.3281373736093755e-10,50.66275768700052,751
4,1776.0,2736.3999999999996,960.3999999999996,4999841.292857103,4.981166137183281e-09,1.3608353702675652e-08,4999939.25339706,2.8391414996889683e-09,7.73946937743617e-09,0.06,0.26,0.15000000000000002,6.175944050489111e-08,1.0316515579086603e-09,2.4724769453872325e-08,3.6003019493110134e-08,2.0141354812433803e-10,0.0,0.0002428718604090415,4.709639351230634e-10,2.117038079035451e-10,52.9792992470002,704
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4999939.25339706,2.8391414996889683e-09,7.73946937743617e-09,4999984.166684123,2.0919220142594028e-09,5.708856629552918e-09,0.06,0.26,0.15000000000000002,3.5564362183413156e-08,8.216298079800062e-10,1.5325821513258106e-08,1.941691086217504e-08,1.4123506663759384e-10,0.0,6.66231919920851e-05,4.0357108138881643e-10,1.851397187781044e-10,52.78815604600004,685
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.166684123,2.0919220142594028e-09,5.708856629552918e-09,4999997.588496481,1.5254814385812746e-09,4.168886225555289e-09,0.06,0.26,0.15000000000000002,4.6981847079690174e-08,9.413051223925508e-10,1.6118860243683873e-08,2.992168171361375e-08,6.084599383880139e-10,0.0,1.6885567087169075e-05,3.4597355069724356e-10,1.609040117558452e-10,54.689954503999616,742
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.588496481,1.5254814385812746e-09,4.168886225555289e-09,4999999.826990787,1.1083623054530858e-09,3.01958813802837e-09,0.06,0.26,0.15000000000000002,3.393901501086338e-08,1.483311192986474e-09,1.1195222739671847e-08,2.1260481078205057e-08,3.362759763998985e-10,0.0,3.412577778452935e-06,2.973429821570085e-10,1.3946390729965263e-10,53.78220166099982,709
8,8598.681599999996,11598.681599999996,3000.0,4999999.826990787,1.1083623054530858e-09,3.01958813802837e-09,4999999.99138055,9.72224151789633e-10,2.668074569674254e-09,0.06,0.26,0.15000000000000002,5.9101044487829596e-08,4.5963003126329626e-10,2.4868312220427283e-08,3.3773102236139015e-08,2.8756668063257484e-09,0.0,1.78041496270523e-07,2.801463550851497e-10,1.3191202071204327e-10,57.494991247000144,741
9,11598.681599999996,14598.681599999996,3000.0,4999999.99138055,9.72224151789633e-10,2.668074569674254e-09,4999999.999570732,9.803061920640149e-10,2.6756970639582713e-09,0.06,0.26,0.15000000000000002,1.2743016000573116e-08,6.951512525336694e-10,5.093022508810713e-09,6.954842239228734e-09,1.765042476069254e-10,0.0,7.817885191412597e-09,2.8076341761190564e-10,1.318409402196472e-10,54.22636657300063,707
10,14598.681599999996,17598.681599999996,3000.0,4999999.999570732,9.803061920640149e-10,2.6756970639582713e-09,4999999.999978377,9.829902896471012e-10,2.6782167278538145e-09,0.06,0.26,0.15000000000000002,2.9287120546384255e-08,4.582026926555676e-10,9.254612145193962e-09,1.9574305708534727e-08,6.534970677196404e-10,0.0,3.5882973576157976e-10,2.8057998268831584e-10,1.3198273551566592e-10,52.998134967000624,688
11,17598.681599999996,20000.0,2401.3184000000037,4999999.999978377,9.829902896471012e-10,2.6782167278538145e-09,4999999.999997695,1.2140062588594115e-09,3.312207397131774e-09,0.06,0.26,0.15000000000000002,3.4546481050393525e-08,6.761268595795235e-10,1.4305371776119778e-08,1.9564982414694223e-08,2.424665574886329e-10,0.0,1.3703107172302572e-11,3.1015543198397073e-10,1.4501451247848474e-10,55.87644995000028,750
