component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,5.519396104809551e-08,0.9999987523896604,0.27596027859243566,0.00036459136558174396,1.68507297988981,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,1
E,0.003658764263809933,0.9999862721898956,0.03119094596594572,0.0001559547298297286,0.45931764743592396,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,1
I,0.004134593403536637,0.999982185984831,0.06841327554465904,0.00047948465173689147,0.7297200909720232,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,1
