component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,3.2474504907253093e-07,0.9999568673140793,1.6236691559518808,0.002143723339544919,8.97529807407409,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,0
E,0.009280077716077398,0.9999116829727501,0.07914097921081878,0.0003957048960540939,0.7874815831304112,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,0
I,0.013468881137890056,0.9998109541018081,0.22295059171833664,0.0015624877692564164,2.3749779449220227,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,0
