component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,9.370842484209566e-05,0.9999958886971992,429.9959424872409,0.0007548107576639886,1658.181502526626,EE,0.001,1.188118811881188,m=6e-6,6e-06,0
E,0.0020524691213343505,0.9999736171369021,10.107807714743364,0.0011828613314193276,36.01467329663865,EE,0.001,1.188118811881188,m=6e-6,6e-06,0
I,0.002132557512612843,0.9999722029623025,20.936892679957843,0.001215763910770256,75.88143407962889,EE,0.001,1.188118811881188,m=6e-6,6e-06,0
