window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4993835.313419932,463.9961854314273,829.3968742029978,0.06,0.161,0.15000000000000002,2.1120018693888693e-05,4.62455045055276e-06,7.426271141586964e-06,9.069197101748968e-06,5.949663222587677e-07,0.0,0.1990952006388725,0.08803977818904525,0.1444386708330492,50.52683235999939,622
1,250.0,600.0,350.0,4993835.313419932,463.9961854314273,829.3968742029978,4949615.610319365,2951.2093991156808,5411.128626076135,0.06,0.161,0.15000000000000002,1.5472553692689004e-07,3.4200926188627434e-08,1.0035807570196597e-07,2.016653503629663e-08,1.0301643981841384e-07,0.0,0.17053972854403013,0.05075950760264283,0.05302107312704349,50.9010518110008,751
2,600.0,1090.0,490.0,4949615.610319365,2951.2093991156808,5411.128626076135,4704842.2363633355,8634.381979296402,17159.01347550807,0.06,0.161,0.15000000000000002,1.1873266766564742e-07,1.3183129413201784e-08,4.689535397928485e-08,5.865418427316079e-08,9.081968564022618e-09,0.0,1.2975889135166716,0.18809192672180183,0.38104529888190325,54.53180462800083,751
3,1090.0,1776.0,686.0,4704842.2363633355,8634.381979296402,17159.01347550807,4456468.094547094,6202.399145720874,12556.159689100788,0.06,0.161,0.15000000000000002,9.255231656887191e-09,7.181474771328213e-09,7.267994625671972e-10,1.3469574229917813e-09,7.566993376151677e-10,0.0,1.868525770396099,0.034353026096014205,0.08737665432138161,54.315178048000234,750
4,1776.0,2736.3999999999996,960.3999999999996,4456468.094547094,6202.399145720874,12556.159689100788,4440244.205061935,4622.183846828574,9256.583487278114,0.06,0.161,0.15000000000000002,1.0186843935076076e-08,3.676086933070167e-09,2.099725867416538e-09,4.411031134589372e-09,4.273215510360327e-10,0.0,1.8109897734298652,0.040495914059186934,0.10952375404121303,53.21827017199939,750
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4440244.205061935,4622.183846828574,9256.583487278114,4459544.894910329,4749.920011821711,9493.474003487272,0.06,0.161,0.15000000000000002,3.0851351901077447e-08,5.4557082840251925e-09,9.529380443889559e-09,1.5866263173162697e-08,5.850118007671203e-08,0.0,2.1626425133344997,0.07283869634018644,0.1752982602191167,51.84817479499907,751
6,4080.959999999999,5963.343999999998,1882.383999999999,4459544.894910329,4749.920011821711,9493.474003487272,4457609.618185771,4805.648005309653,9612.158425351932,0.06,0.161,0.15000000000000002,8.729616118998477e-09,1.4778349765854382e-09,2.1841083887925656e-09,5.067672753620474e-09,8.636447911047003e-09,0.0,1.1127220871946946,0.03586932087287815,0.10165681654364,51.88487891600016,751
7,5963.343999999998,8598.681599999996,2635.337599999998,4457609.618185771,4805.648005309653,9612.158425351932,4457274.424510755,4787.392365832012,9574.596373337048,0.06,0.161,0.15000000000000002,7.682861195280215e-10,2.2807048615233837e-10,3.192111070501698e-10,2.2100452632551333e-10,9.617619291481537e-11,0.0,0.43841148566265886,0.013792308851387365,0.021397761996815805,53.900557635999576,750
8,8598.681599999996,11598.681599999996,3000.0,4457274.424510755,4787.392365832012,9574.596373337048,4457351.996754741,4790.650056718459,9581.208511249177,0.06,0.161,0.15000000000000002,2.0436451196113796e-09,1.2663367308645265e-10,1.4758637649704296e-09,4.4114768155449744e-10,9.003580161826806e-11,0.0,0.32663574384273214,0.029622555679519377,0.030177882893218506,51.48178332700081,750
9,11598.681599999996,14598.681599999996,3000.0,4457351.996754741,4790.650056718459,9581.208511249177,4457541.55908073,4791.936978524903,9583.53086764113,0.06,0.161,0.15000000000000002,3.276325306997372e-09,1.1586232892665949e-10,2.3637531874133307e-09,7.967097906573819e-10,3.1499786534199777e-10,0.0,0.31240234714847404,0.03748546397071403,0.040556699436267,53.31705736100048,750
10,14598.681599999996,17598.681599999996,3000.0,4457541.55908073,4791.936978524903,9583.53086764113,4457407.854011998,4790.285284696798,9580.433564399566,0.06,0.161,0.15000000000000002,1.142951201903488e-09,1.7946422628504739e-10,8.000619308945288e-10,1.634250447239118e-10,2.9985544506605833e-11,0.0,0.3888225280866677,0.0218190654358346,0.018374893166485343,54.51869181800066,751
11,17598.681599999996,20000.0,2401.3184000000037,4457407.854011998,4790.285284696798,9580.433564399566,4457510.259266385,4789.79540667927,9579.33771440377,0.06,0.161,0.15000000000000002,4.725719954865401e-10,1.5945881820375414e-10,2.203742706119374e-10,9.273890667084858e-11,4.7100643682616965e-11,0.0,0.3665455701460239,0.011446873697136692,0.013834586496384716,55.30062811600146,750
