component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,6.652728029418692e-08,0.9999981874275337,0.3326249186570088,0.0004394551778909514,2.669959170743823,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,0
E,0.0064194418807571926,0.9999577402475778,0.054725708025180404,0.000273628540125902,0.5139832859544029,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,0
I,0.009531292149972889,0.9999053327489674,0.1577100460700629,0.001105334394725042,1.6754892344941226,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,0
