window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4999278.886942864,0.796718320779022,2.431160906448912,0.06,0.26,0.15000000000000002,2.8920059600101287e-05,2.956516101911341e-06,5.356024864477045e-06,2.06075186337129e-05,8.577046727775324e-07,0.0,0.06485083833423183,0.032996568335890375,0.06713607783564024,49.46125516000029,621
1,250.0,600.0,350.0,4999278.886942864,0.796718320779022,2.431160906448912,4999485.483479804,0.0019510573194263551,0.005945460929270018,0.06,0.26,0.15000000000000002,2.116843055404041e-07,7.015263621208555e-09,7.73677144556494e-08,1.2730132746354614e-07,1.336290451704221e-07,0.0,0.003087566027360679,3.276302314339004e-05,2.638914394831959e-05,52.9305034479994,750
2,600.0,1090.0,490.0,4999485.483479804,0.0019510573194263551,0.005945460929270018,4999684.684247418,4.359075176043132e-07,1.3276105912124733e-06,0.06,0.26,0.15000000000000002,4.982079868654997e-07,3.1169547532456035e-09,4.3313935819288346e-08,4.5177709629296565e-07,1.5637805996932674e-07,0.0,0.0013866279489962525,1.227593293510439e-08,6.238834169305609e-08,51.13944322700081,751
3,1090.0,1776.0,686.0,4999684.684247418,4.359075176043132e-07,1.3276105912124733e-06,4999841.201447107,4.99297669380451e-09,1.3621098869458697e-08,0.06,0.26,0.15000000000000002,7.612206930173716e-07,1.0043979299992645e-09,4.571461346474177e-07,3.0307016043995465e-07,6.678795619449175e-08,0.0,0.00042570414055276295,4.1822470548711886e-10,2.331184946829078e-10,52.452938997000274,750
4,1776.0,2736.3999999999996,960.3999999999996,4999841.201447107,4.99297669380451e-09,1.3621098869458697e-08,4999939.2306643175,2.8368184611019873e-09,7.745714989450088e-09,0.06,0.26,0.15000000000000002,1.1243419811745718e-07,8.003029308029704e-10,4.387446266411753e-08,6.775943252253667e-08,3.9821067345670124e-10,0.0,0.00019343473079802033,4.711761005274292e-10,2.1168951450287415e-10,52.04594901700057,686
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4999939.2306643175,2.8368184611019873e-09,7.745714989450088e-09,4999984.164254076,2.0914391660363612e-09,5.702735325021369e-09,0.06,0.26,0.15000000000000002,5.076821470074897e-08,1.2318888119787962e-09,1.2278545490645973e-08,3.7257780398124204e-08,4.855230491739272e-10,0.0,9.648280998909874e-05,4.036409257887982e-10,1.8511831715121938e-10,52.40732392799964,721
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.164254076,2.0914391660363612e-09,5.702735325021369e-09,4999997.59029281,1.5304852933310063e-09,4.180071820918468e-09,0.06,0.26,0.15000000000000002,5.0501213344074605e-08,1.1270614545044903e-09,1.9801793913988504e-08,2.9572357975581615e-08,8.775101964725907e-10,0.0,2.603226605157774e-05,3.4615865646303707e-10,1.6097249000460408e-10,52.469950057999995,690
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.59029281,1.5304852933310063e-09,4.180071820918468e-09,4999999.827434457,1.1028845509266706e-09,3.0366346699364345e-09,0.06,0.26,0.15000000000000002,2.8381423669363704e-08,3.9554133629561156e-10,1.338773739675991e-08,1.4598144936308184e-08,1.774748940691408e-09,0.0,1.5403228982390104e-06,2.972273619899439e-10,1.3942284808041634e-10,51.777792230999694,705
8,8598.681599999996,11598.681599999996,3000.0,4999999.827434457,1.1028845509266706e-09,3.0366346699364345e-09,4999999.991405511,9.80366098089373e-10,2.6822143554993826e-09,0.06,0.26,0.15000000000000002,3.93414348639205e-08,2.9882104856674207e-10,1.09835788315254e-08,2.8059034983828356e-08,8.300641621666192e-10,0.0,1.124920077410348e-07,2.806126898299118e-10,1.319012264739489e-10,53.27549188800003,693
9,11598.681599999996,14598.681599999996,3000.0,4999999.991405511,9.80366098089373e-10,2.6822143554993826e-09,4999999.999571668,9.79952762571744e-10,2.666194841685648e-09,0.06,0.26,0.15000000000000002,4.8748757123610066e-08,1.6945921916364222e-10,2.5931288679772976e-08,2.264800922467345e-08,4.383288360330737e-10,0.0,4.170461177432015e-09,2.8061251293811223e-10,1.3187712540131748e-10,53.50766322400068,703
10,14598.681599999996,17598.681599999996,3000.0,4999999.999571668,9.79952762571744e-10,2.666194841685648e-09,4999999.99997842,9.751406589253576e-10,2.6803612211317834e-09,0.06,0.26,0.15000000000000002,3.983787239999957e-08,3.970271976696073e-10,2.0348168550125322e-08,1.9092676652204646e-08,1.585220087090894e-09,0.0,3.9393105220160787e-10,2.8035059318149086e-10,1.318082098290968e-10,51.96870102200046,750
11,17598.681599999996,20000.0,2401.3184000000037,4999999.99997842,9.751406589253576e-10,2.6803612211317834e-09,4999999.999997701,1.2126810589565118e-09,3.310643796369009e-09,0.06,0.26,0.15000000000000002,2.6498550014019077e-08,1.5153590585189054e-09,1.0261141758655555e-08,1.4722049196844616e-08,4.015271906276149e-10,0.0,2.939538757386465e-11,3.0987772054575753e-10,1.4503000432469682e-10,54.488603204000356,750
