window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4999281.990754702,0.7836234748627177,2.3904979725659823,0.06,0.26,0.15000000000000002,3.591796290484095e-05,3.7927537019931025e-06,6.837231350315167e-06,2.5287977852532674e-05,3.997449840329587e-07,0.0,0.07187481161441522,0.02267731825190623,0.07933479246670555,49.95071998000003,626
1,250.0,600.0,350.0,4999281.990754702,0.7836234748627177,2.3904979725659823,4999487.693184594,0.0019250392474591904,0.0058660640461203895,0.06,0.26,0.15000000000000002,1.1270292676598139e-07,2.6096518127188595e-09,4.334819034514173e-08,6.67450846081208e-08,8.264745089715127e-08,0.0,0.001883723144234336,2.2287824388738828e-05,1.3846515628712002e-05,53.434334682999975,750
2,600.0,1090.0,490.0,4999487.693184594,0.0019250392474591904,0.0058660640461203895,4999686.21755929,4.306308186539919e-07,1.3115123806353294e-06,0.06,0.26,0.15000000000000002,4.943470053811539e-07,9.548747871471127e-09,3.9633398969532986e-08,4.451648585401498e-07,1.7273147612643398e-07,0.0,0.0022519022448334847,1.3262190739228047e-08,6.977896975661205e-08,51.05401045700012,751
3,1090.0,1776.0,686.0,4999686.21755929,4.306308186539919e-07,1.3115123806353294e-06,4999841.983255149,4.994557835406376e-09,1.3608255092267175e-08,0.06,0.26,0.15000000000000002,8.362164879695226e-07,7.169056011221298e-09,4.3777556342678506e-07,3.912718685315163e-07,6.375938223649216e-08,0.0,0.0012621869609707728,4.1842728348902994e-10,2.329389470065835e-10,52.57326168600002,750
4,1776.0,2736.3999999999996,960.3999999999996,4999841.983255149,4.994557835406376e-09,1.3608255092267175e-08,4999939.522923081,2.8398462214849174e-09,7.747221621769626e-09,0.06,0.26,0.15000000000000002,3.47290027055132e-08,7.259843807320159e-10,1.4616116527893752e-08,1.9386901796887427e-08,2.4128115735373783e-10,0.0,0.00018698060090583356,4.711884149585161e-10,2.1159007439483152e-10,54.02374774300006,750
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4999939.522923081,2.8398462214849174e-09,7.747221621769626e-09,4999984.234469637,2.0939532459116813e-09,5.713508281913686e-09,0.06,0.26,0.15000000000000002,6.938632405742248e-08,9.61542196087507e-10,2.9674812658810953e-08,3.874996920252401e-08,6.8118106942229e-10,0.0,8.313755781273491e-05,4.0338886159850976e-10,1.8511721246725078e-10,53.40091901100004,750
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.234469637,2.0939532459116813e-09,5.713508281913686e-09,4999997.600792421,1.5239141743583974e-09,4.1635918517265045e-09,0.06,0.26,0.15000000000000002,4.7711957613741995e-08,5.890573355825563e-10,2.9144539141298962e-08,1.7978361136860477e-08,8.185622352597928e-10,0.0,1.4564900933182412e-05,3.459407029556891e-10,1.608723499166091e-10,54.676508113999944,751
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.600792421,1.5239141743583974e-09,4.1635918517265045e-09,4999999.827690096,1.1078530681994934e-09,3.0257340596790766e-09,0.06,0.26,0.15000000000000002,5.4758521757633004e-08,1.7555540493603481e-09,1.8782828459554058e-08,3.42201392487186e-08,1.6913987739596554e-09,0.0,1.8894470356428587e-06,2.968763817315105e-10,1.3937222546301568e-10,54.016853273999914,706
8,8598.681599999996,11598.681599999996,3000.0,4999999.827690096,1.1078530681994934e-09,3.0257340596790766e-09,4999999.991418695,9.79329183870829e-10,2.6694751120249635e-09,0.06,0.26,0.15000000000000002,2.2492019041918565e-08,7.874087197024193e-10,1.0609103342313659e-08,1.1095506979902488e-08,1.6633316149233908e-10,0.0,2.573339545741503e-07,2.807186164674485e-10,1.3185552256075014e-10,53.27797284799999,661
9,11598.681599999996,14598.681599999996,3000.0,4999999.991418695,9.79329183870829e-10,2.6694751120249635e-09,4999999.999571975,9.738014137390656e-10,2.6703177755997585e-09,0.06,0.26,0.15000000000000002,3.2882273327690585e-08,7.144026401761039e-10,1.1993317714863819e-08,2.017455297265066e-08,7.738207129837126e-10,0.0,8.492989256161143e-09,2.8102617861363196e-10,1.3175198444337606e-10,53.42336041699991,691
10,14598.681599999996,17598.681599999996,3000.0,4999999.999571975,9.738014137390656e-10,2.6703177755997585e-09,4999999.999978435,9.806353281110317e-10,2.6852613479024274e-09,0.06,0.26,0.15000000000000002,4.1462513057592773e-08,4.3620011806173014e-10,1.7582703132691785e-08,2.3443609806839258e-08,9.97690543694795e-10,0.0,3.505318578865293e-10,2.805446589853488e-10,1.3178865840747248e-10,52.63519913799996,750
11,17598.681599999996,20000.0,2401.3184000000037,4999999.999978435,9.806353281110317e-10,2.6852613479024274e-09,4999999.999997701,1.214061021761156e-09,3.3047473720839362e-09,0.06,0.26,0.15000000000000002,2.702254868737967e-08,1.0245595039607801e-09,9.075285247685768e-09,1.692270393573312e-08,2.5563978604176153e-10,0.0,2.0669062774326026e-11,3.1007315643468603e-10,1.4504502999511275e-10,55.688027320000174,750
