window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4999278.099807673,0.7906412968941479,2.409971020177172,0.06,0.26,0.15000000000000002,2.5343162979581045e-05,1.7476273449950156e-06,4.752137959647302e-06,1.8843397674938727e-05,3.357063608613779e-07,0.0,0.04352665199105195,0.021887446902855063,0.06880151946032759,53.88883146799981,631
1,250.0,600.0,350.0,4999278.099807673,0.7906412968941479,2.409971020177172,4999484.693002174,0.0019428927142174884,0.005920222599913422,0.06,0.26,0.15000000000000002,2.0074030822009602e-07,6.8934149171509746e-09,4.322285590209584e-08,1.506240374008492e-07,1.9654550300905826e-08,0.0,0.0030203812891408423,1.0010304614715285e-05,2.9782055925406007e-05,54.87529254299989,750
2,600.0,1090.0,490.0,4999484.693002174,0.0019428927142174884,0.005920222599913422,4999684.698856715,4.351413948855062e-07,1.325267677333288e-06,0.06,0.26,0.15000000000000002,4.4931554663780495e-07,2.1474871478768708e-08,3.535082209363877e-08,3.924898530653975e-07,1.5437084395231198e-07,0.0,0.0033204018081269215,1.0910220942241396e-08,5.2180567724180467e-08,50.706799201000194,750
3,1090.0,1776.0,686.0,4999684.698856715,4.351413948855062e-07,1.325267677333288e-06,4999841.20014979,4.985556856423768e-09,1.3619605009792141e-08,0.06,0.26,0.15000000000000002,9.181868659988075e-07,9.758148991323367e-09,4.7527538563775466e-07,4.3315333136972946e-07,5.901013988832668e-08,0.0,0.0014802190345911531,4.183529515446277e-10,2.3279926427935526e-10,57.33839687599993,750
4,1776.0,2736.3999999999996,960.3999999999996,4999841.20014979,4.985556856423768e-09,1.3619605009792141e-08,4999939.227551469,2.8396085943568265e-09,7.747495438849261e-09,0.06,0.26,0.15000000000000002,2.988500954961416e-08,5.130953004068531e-10,1.1543340038689044e-08,1.7828574210518267e-08,3.567595093957663e-10,0.0,0.00016618635288758775,4.711650793977986e-10,2.11543385907653e-10,51.58535025299989,732
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4999939.227551469,2.8396085943568265e-09,7.747495438849261e-09,4999984.158552859,2.0940802453139097e-09,5.7158556334612135e-09,0.06,0.26,0.15000000000000002,2.6207189136771007e-08,7.017101679618843e-10,1.1614247396109143e-08,1.3891231572699982e-08,5.325747498139445e-10,0.0,6.48488431390871e-05,4.0370673979834365e-10,1.851064126605766e-10,54.12133951499982,657
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.158552859,2.0940802453139097e-09,5.7158556334612135e-09,4999997.590820903,1.5297380052074956e-09,4.170293281372521e-09,0.06,0.26,0.15000000000000002,2.738533977498418e-08,2.006002412941999e-09,9.575087981622869e-09,1.5804249380419312e-08,5.035789127710255e-10,0.0,2.312677855080107e-05,3.4594528698336535e-10,1.6083585269024086e-10,55.157623510999656,702
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.590820903,1.5297380052074956e-09,4.170293281372521e-09,4999999.827194425,1.1084097856990035e-09,3.0425425306945575e-09,0.06,0.26,0.15000000000000002,8.590068751338176e-08,1.96463184803569e-10,4.2204687193475477e-08,4.3499537135102715e-08,1.8768302315141314e-09,0.0,1.360266371846432e-06,2.971790625214821e-10,1.394748205327373e-10,51.9055409460002,720
8,8598.681599999996,11598.681599999996,3000.0,4999999.827194425,1.1084097856990035e-09,3.0425425306945575e-09,4999999.991409461,9.786603696824768e-10,2.6627931764120596e-09,0.06,0.26,0.15000000000000002,2.9906517596490375e-08,9.095015114146065e-10,1.0150513363332427e-08,1.884650272174334e-08,1.0822088100351213e-09,0.0,1.5413528657386964e-07,2.805976582993035e-10,1.3179475698887175e-10,57.4333930140001,750
9,11598.681599999996,14598.681599999996,3000.0,4999999.991409461,9.786603696824768e-10,2.6627931764120596e-09,4999999.999572476,9.773666754070933e-10,2.6650009551364447e-09,0.06,0.26,0.15000000000000002,1.7190202439074247e-08,1.2369957612091878e-09,5.1505606779899596e-09,1.0802645999875098e-08,5.959194626714797e-10,0.0,6.5642085899274395e-09,2.8077677256352135e-10,1.3180185001865119e-10,55.54413488199998,704
10,14598.681599999996,17598.681599999996,3000.0,4999999.999572476,9.773666754070933e-10,2.6650009551364447e-09,4999999.999978446,9.805444792987828e-10,2.6750175182569342e-09,0.06,0.26,0.15000000000000002,4.916584511726755e-08,6.881425522145392e-10,1.701774813211887e-08,3.145995443293414e-08,6.366524007884037e-11,0.0,4.804810314047553e-10,2.808647351321104e-10,1.3184364106422877e-10,52.19194679600014,713
11,17598.681599999996,20000.0,2401.3184000000037,4999999.999978446,9.805444792987828e-10,2.6750175182569342e-09,4999999.999997704,1.2162689646231874e-09,3.3164167843013517e-09,0.06,0.26,0.15000000000000002,2.9083545823965383e-08,2.6305534550973914e-09,1.4306995883101114e-08,1.2145996485766879e-08,9.08704512919439e-10,0.0,2.803947670598278e-11,3.100455046842273e-10,1.4511455276472002e-10,56.45690824400026,751
