component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,6.935325571753085e-08,0.9999980327700289,0.3467543000116619,0.00045781819732036,2.105609501712024,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,1
E,0.005747714649783748,0.9999661209195643,0.0490168056265511,0.00024508402813275547,0.4747269702626369,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,1
I,0.008409150613722535,0.999926310012943,0.13919679637708574,0.0009755223800152153,1.4529218181983055,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,1
