component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,0.0003777760969261097,0.9999701027369933,1670.0978852762582,0.001694381260447849,6311.3181889131665,EE,0.001,1.188118811881188,m=1e-6,1e-06,2
E,0.005857471048297736,0.999883502368127,43.23557751628061,0.002237760729261613,167.62886054229875,EE,0.001,1.188118811881188,m=1e-6,1e-06,2
I,0.005932248554690736,0.9998813493063083,87.16864123255723,0.0022523332668817684,336.214208686064,EE,0.001,1.188118811881188,m=1e-6,1e-06,2
