window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4993756.335008375,478.8750335938689,855.6226518311591,0.06,0.161,0.15000000000000002,3.438700960613111e-05,1.1283403260421902e-05,7.318011720282534e-06,1.5785594625426675e-05,8.050460562551869e-07,0.0,0.4600751785352652,0.09067080153660183,0.16135585006178235,52.54974617999869,622
1,250.0,600.0,350.0,4993756.335008375,478.8750335938689,855.6226518311591,4943434.333678048,3584.3709131092933,6468.185497164588,0.06,0.161,0.15000000000000002,9.636438914975956e-08,2.7625998669105846e-08,2.4751697787849102e-08,4.398669269280462e-08,6.091294766284701e-09,0.0,0.1896944589080097,0.035847505438993225,0.0791297396680622,56.046364590998564,751
2,600.0,1090.0,490.0,4943434.333678048,3584.3709131092933,6468.185497164588,4476348.468308072,19085.780257789047,37499.84640613772,0.06,0.161,0.15000000000000002,2.663777595755388e-08,4.178464086194484e-09,1.6252453760013306e-08,6.206858111346091e-09,5.592159325539588e-10,0.0,0.7529688953113942,0.2119364484960849,0.21774624745097074,56.36948615700021,750
3,1090.0,1776.0,686.0,4476348.468308072,19085.780257789047,37499.84640613772,4019086.156372715,6774.170103573042,14109.635267928808,0.06,0.161,0.15000000000000002,3.954435224838357e-08,2.7937402678784202e-08,3.2301625482903607e-09,8.37678702130901e-09,6.514344310499204e-09,0.0,5.566395583551461,0.15773899400284588,0.4802289740077883,55.56915564399969,750
4,1776.0,2736.3999999999996,960.3999999999996,4019086.156372715,6774.170103573042,14109.635267928808,4300702.987935123,3545.675419908381,7023.763602540013,0.06,0.161,0.15000000000000002,1.4632554049800544e-08,1.8935705491893703e-09,4.996644812145474e-09,7.742338688465699e-09,6.677394798765181e-10,0.0,1.858194586920413,0.051416083004793105,0.11833747134228446,55.31470930499927,751
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4300702.987935123,3545.675419908381,7023.763602540013,4266185.310307781,7790.262356087128,15598.94671622159,0.06,0.161,0.15000000000000002,2.9616335236208854e-07,1.8064174260162387e-07,1.8022056625551813e-08,9.749955313491283e-08,1.21299949508671e-08,0.0,14.600937241013133,0.12857197653618588,0.5887809842702051,56.28106797699911,750
6,4080.959999999999,5963.343999999998,1882.383999999999,4266185.310307781,7790.262356087128,15598.94671622159,4277549.617724362,5924.605549547296,11813.719608586644,0.06,0.161,0.15000000000000002,3.277764573602363e-08,1.4050897162559865e-08,4.5249757187182e-09,1.4201772854745563e-08,2.382932426433688e-09,0.0,4.5961788716716585,0.06992749153287824,0.2276600468557551,52.557251119000284,750
7,5963.343999999998,8598.681599999996,2635.337599999998,4277549.617724362,5924.605549547296,11813.719608586644,4261097.367013568,6123.658238790322,12245.686917172094,0.06,0.161,0.15000000000000002,5.6110074969617946e-08,2.498002905235404e-08,9.293550177235438e-09,2.1836495740028466e-08,6.685177072708156e-08,0.0,5.9476758824496825,0.09557042811388528,0.2769127905070465,56.35334436899939,750
8,8598.681599999996,11598.681599999996,3000.0,4261097.367013568,6123.658238790322,12245.686917172094,4262424.846875352,6229.551119822456,12456.467671107634,0.06,0.161,0.15000000000000002,1.9732274055301235e-08,1.465386015728738e-08,1.5661427706618978e-09,3.512271127351958e-09,2.4978252058481657e-09,0.0,4.566801677114019,0.0393074731809736,0.10977162571050596,52.518786098999044,751
9,11598.681599999996,14598.681599999996,3000.0,4262424.846875352,6229.551119822456,12456.467671107634,4261174.000134064,6237.944173582297,12475.938626291098,0.06,0.161,0.15000000000000002,1.1621695293433178e-09,1.994771693367447e-10,4.613728841367417e-10,5.013194758698314e-10,1.2919985379643718e-09,0.0,0.5332847929271294,0.021555610794034178,0.04185386570948591,53.98928748600156,751
10,14598.681599999996,17598.681599999996,3000.0,4261174.000134064,6237.944173582297,12475.938626291098,4261073.668711236,6233.579607593701,12467.39219053932,0.06,0.161,0.15000000000000002,6.310934092595851e-10,2.7886464215696254e-11,4.4523146063825743e-10,1.5797548440563137e-10,6.514314950591187e-11,0.0,0.19952161582738906,0.0211840762305302,0.02351143057143951,53.47715467799935,750
11,17598.681599999996,20000.0,2401.3184000000037,4261073.668711236,6233.579607593701,12467.39219053932,4261164.761105838,6234.423141653718,12468.792311635529,0.06,0.161,0.15000000000000002,6.326636017498693e-10,4.151195272003196e-11,4.6297116716807593e-10,1.281804818617615e-10,5.899993522432223e-11,0.0,0.24342284556690844,0.02159557366921756,0.021173951922923283,54.26427483899897,750
