window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4993730.048505862,478.9895713634874,857.1491390770194,0.06,0.161,0.15000000000000002,2.9109628438986297e-05,1.0336346434755017e-05,4.2296808742054565e-06,1.454360113002582e-05,1.210687290564415e-06,0.0,0.4742467741876053,0.10496854619749721,0.21305894274397763,49.684886449999794,628
1,250.0,600.0,350.0,4993730.048505862,478.9895713634874,857.1491390770194,4942211.52802489,3725.6946277111747,6696.2930727252915,0.06,0.161,0.15000000000000002,1.9162058337766818e-07,2.766894749470246e-08,3.975533274548907e-08,1.2419630313747665e-07,2.0368500825215114e-07,0.0,0.20364564881040434,0.047654322874614456,0.09725528204305318,53.739336395000464,751
2,600.0,1090.0,490.0,4942211.52802489,3725.6946277111747,6696.2930727252915,4363944.668447312,25609.04923538671,49892.12904325171,0.06,0.161,0.15000000000000002,8.7471961417311e-08,4.4211667265836804e-09,4.130770569991122e-08,4.174308899081609e-08,1.6546180952916543e-09,0.0,0.6708234590958888,0.3890260465791211,0.691577018397694,57.339333441000235,751
3,1090.0,1776.0,686.0,4363944.668447312,25609.04923538671,49892.12904325171,3830767.7150710975,5152.805362855842,10983.015913576672,0.06,0.161,0.15000000000000002,3.70331642522541e-08,1.3592230670112996e-08,8.742095882630885e-09,1.4698837699510217e-08,6.725837441168804e-09,0.0,5.314627716070678,0.29953573428606406,0.7444749583041922,56.90945546399962,750
4,1776.0,2736.3999999999996,960.3999999999996,3830767.7150710975,5152.805362855842,10983.015913576672,4313900.2338189185,1980.4176940365103,3897.3247217095654,0.06,0.161,0.15000000000000002,4.33805059473826e-08,1.1355242570166586e-08,8.8695139152888e-09,2.3155749461927216e-08,1.5945243963852782e-09,0.0,4.646417169709267,0.040890325821901,0.11302848049041182,56.01005582500056,751
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4313900.2338189185,1980.4176940365103,3897.3247217095654,4200973.280849621,11206.375837295669,22428.575817290763,0.06,0.161,0.15000000000000002,1.1244742923175972e-07,3.177597734341231e-08,2.2230660589691725e-08,5.844079129865569e-08,2.462393458815997e-09,0.0,5.596185699797633,0.14935978704131778,0.42881834425554144,52.01798080000026,723
6,4080.959999999999,5963.343999999998,1882.383999999999,4200973.280849621,11206.375837295669,22428.575817290763,4277503.543585932,5562.285624521997,11004.856976782568,0.06,0.161,0.15000000000000002,2.1745204669073164e-07,1.0658535194091608e-07,2.0430642171870904e-08,9.043605257794463e-08,8.902158278505106e-09,0.0,13.838641672798605,0.14500318702914583,0.6042867681601013,50.31302209500063,750
7,5963.343999999998,8598.681599999996,2635.337599999998,4277503.543585932,5562.285624521997,11004.856976782568,4226520.762765844,6138.471959622258,12242.093747143288,0.06,0.161,0.15000000000000002,9.129332643510148e-08,2.705943914657592e-08,1.5492746869820397e-08,4.874114041870516e-08,1.4567011798783902e-09,0.0,6.475211741382414,0.14492914351227743,0.4735162619068863,50.864846469999975,750
8,8598.681599999996,11598.681599999996,3000.0,4226520.762765844,6138.471959622258,12242.093747143288,4213752.991147432,6423.1813713024,12835.921457677872,0.06,0.161,0.15000000000000002,5.7153901535831264e-08,2.5514541333572764e-08,9.561391705760325e-09,2.2077968496498176e-08,3.869105447783025e-08,0.0,6.391069336596448,0.10128024421565777,0.28835936038808224,51.940401529000155,750
9,11598.681599999996,14598.681599999996,3000.0,4213752.991147432,6423.1813713024,12835.921457677872,4208972.214646007,6584.226442049684,13167.222610161154,0.06,0.161,0.15000000000000002,4.6886359846658564e-08,2.8503882707997532e-08,5.340434668943074e-09,1.3042042469717956e-08,1.8946754576849473e-08,0.0,6.718247484313555,0.07627364766772016,0.221692863857259,50.872519001,751
10,14598.681599999996,17598.681599999996,3000.0,4208972.214646007,6584.226442049684,13167.222610161154,4208436.154142756,6596.762374909922,13193.34640615279,0.06,0.161,0.15000000000000002,7.642871166658912e-10,2.27352768380315e-10,3.2092161298371404e-10,2.160127353018622e-10,3.610289687240114e-10,0.0,0.6025487634595053,0.019017659937898213,0.029054787839283232,49.93555659199956,751
11,17598.681599999996,20000.0,2401.3184000000037,4208436.154142756,6596.762374909922,13193.34640615279,4208303.234337716,6597.839002772106,13195.74356932692,0.06,0.161,0.15000000000000002,1.822506557423466e-10,1.1412315722894603e-11,1.362257805386402e-10,3.461255948081179e-11,1.917196573350646e-11,0.0,0.135053935931671,0.012397386740581683,0.01164444827674497,32.31028341000001,20
