component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,0.0005487892770838439,0.9999516814612069,2399.3710413480503,0.0019828656304685974,10136.467204460874,EE,0.001,1.188118811881188,m=0,0.0,1
E,0.007462642278321486,0.9998586918809479,63.99669674265694,0.002431628360290107,259.5019629128192,EE,0.001,1.188118811881188,m=0,0.0,1
I,0.0075565132592360215,0.999855468946073,128.86099514735523,0.0024491127600499074,520.919895018269,EE,0.001,1.188118811881188,m=0,0.0,1
