window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals,regime,media_arg,seed,run_dir
11,17598.681599999996,20000.0,2401.318400000004,4999999.9999784,9.794536137245696e-10,2.6648132524291757e-09,4999999.999997696,1.2124362445040003e-09,3.312824230916013e-09,0.06,0.26,0.15,2.6339318839394395e-08,7.855998178031634e-10,8.433434801734387e-09,1.7120284219856843e-08,1.6006849853477267e-10,0.0,2.0056945200104448e-11,3.1004550062025667e-10,1.4500665394084758e-10,53.88135642299994,751,DFE,0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed0
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999281.990754702,0.7836234748627177,2.3904979725659823,0.06,0.26,0.15,3.591796290484095e-05,3.7927537019931034e-06,6.837231350315167e-06,2.5287977852532678e-05,3.997449840329587e-07,0.0,0.0718748116144152,0.0226773182519062,0.0793347924667055,49.95071998000003,626,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
1,250.0,600.0,350.0,4999281.990754702,0.7836234748627177,2.3904979725659823,4999487.693184594,0.0019250392474591,0.0058660640461203,0.06,0.26,0.15,1.127029267659814e-07,2.6096518127188595e-09,4.334819034514173e-08,6.67450846081208e-08,8.264745089715128e-08,0.0,0.0018837231442343,2.2287824388738828e-05,1.3846515628712002e-05,53.434334682999975,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
2,600.0,1090.0,490.0,4999487.693184594,0.0019250392474591,0.0058660640461203,4999686.21755929,4.306308186539919e-07,1.3115123806353294e-06,0.06,0.26,0.15,4.943470053811539e-07,9.548747871471129e-09,3.9633398969532986e-08,4.451648585401498e-07,1.72731476126434e-07,0.0,0.0022519022448334,1.3262190739228047e-08,6.977896975661206e-08,51.05401045700012,751,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
3,1090.0,1776.0,686.0,4999686.21755929,4.306308186539919e-07,1.3115123806353294e-06,4999841.983255149,4.994557835406376e-09,1.3608255092267177e-08,0.06,0.26,0.15,8.362164879695226e-07,7.169056011221298e-09,4.3777556342678506e-07,3.912718685315163e-07,6.375938223649216e-08,0.0,0.0012621869609707,4.184272834890299e-10,2.329389470065835e-10,52.57326168600002,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
4,1776.0,2736.4,960.3999999999996,4999841.983255149,4.994557835406376e-09,1.3608255092267177e-08,4999939.522923081,2.839846221484917e-09,7.747221621769626e-09,0.06,0.26,0.15,3.47290027055132e-08,7.259843807320158e-10,1.4616116527893752e-08,1.9386901796887427e-08,2.4128115735373783e-10,0.0,0.0001869806009058,4.71188414958516e-10,2.115900743948315e-10,54.02374774300006,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
5,2736.4,4080.959999999999,1344.5599999999995,4999939.522923081,2.839846221484917e-09,7.747221621769626e-09,4999984.234469637,2.093953245911681e-09,5.713508281913686e-09,0.06,0.26,0.15,6.938632405742249e-08,9.61542196087507e-10,2.9674812658810956e-08,3.8749969202524016e-08,6.811810694222901e-10,0.0,8.313755781273491e-05,4.0338886159850976e-10,1.851172124672508e-10,53.40091901100004,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.234469637,2.093953245911681e-09,5.713508281913686e-09,4999997.600792421,1.5239141743583972e-09,4.1635918517265045e-09,0.06,0.26,0.15,4.7711957613742e-08,5.890573355825563e-10,2.9144539141298962e-08,1.7978361136860477e-08,8.185622352597928e-10,0.0,1.4564900933182412e-05,3.4594070295568907e-10,1.608723499166091e-10,54.67650811399994,751,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.600792421,1.5239141743583972e-09,4.1635918517265045e-09,4999999.827690096,1.1078530681994932e-09,3.0257340596790766e-09,0.06,0.26,0.15,5.475852175763301e-08,1.755554049360348e-09,1.8782828459554058e-08,3.42201392487186e-08,1.6913987739596551e-09,0.0,1.8894470356428587e-06,2.9687638173151046e-10,1.3937222546301568e-10,54.01685327399992,706,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
8,8598.681599999996,11598.681599999996,3000.0,4999999.827690096,1.1078530681994932e-09,3.0257340596790766e-09,4999999.991418695,9.79329183870829e-10,2.6694751120249635e-09,0.06,0.26,0.15,2.2492019041918565e-08,7.874087197024193e-10,1.060910334231366e-08,1.1095506979902488e-08,1.6633316149233908e-10,0.0,2.573339545741503e-07,2.8071861646744847e-10,1.3185552256075014e-10,53.27797284799999,661,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
9,11598.681599999996,14598.681599999996,3000.0,4999999.991418695,9.79329183870829e-10,2.6694751120249635e-09,4999999.999571975,9.738014137390656e-10,2.670317775599758e-09,0.06,0.26,0.15,3.2882273327690585e-08,7.144026401761039e-10,1.199331771486382e-08,2.0174552972650663e-08,7.738207129837125e-10,0.0,8.492989256161143e-09,2.81026178613632e-10,1.3175198444337606e-10,53.42336041699991,691,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
10,14598.681599999996,17598.681599999996,3000.0,4999999.999571975,9.738014137390656e-10,2.670317775599758e-09,4999999.999978435,9.806353281110314e-10,2.6852613479024274e-09,0.06,0.26,0.15,4.146251305759277e-08,4.3620011806173004e-10,1.7582703132691785e-08,2.3443609806839258e-08,9.97690543694795e-10,0.0,3.505318578865293e-10,2.805446589853488e-10,1.3178865840747248e-10,52.63519913799996,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
11,17598.681599999996,20000.0,2401.318400000004,4999999.999978435,9.806353281110314e-10,2.6852613479024274e-09,4999999.999997701,1.214061021761156e-09,3.304747372083936e-09,0.06,0.26,0.15,2.7022548687379672e-08,1.02455950396078e-09,9.075285247685768e-09,1.6922703935733122e-08,2.5563978604176153e-10,0.0,2.0669062774326023e-11,3.1007315643468603e-10,1.4504502999511275e-10,55.688027320000174,750,DFE,0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed1
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999281.64062988,0.7887096506796007,2.4072031835385834,0.06,0.26,0.15,4.1934235701759416e-05,5.12267389592812e-06,9.348017748707403e-06,2.746354405712389e-05,4.100561116748217e-07,0.0,0.08844720705529,0.044857467413519,0.0811749857060128,52.516752733999965,620,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
1,250.0,600.0,350.0,4999281.64062988,0.7887096506796007,2.4072031835385834,4999487.194634385,0.0019452331888313,0.0059277355746677,0.06,0.26,0.15,4.594661103218122e-07,7.1925132502517365e-09,1.5028838398205708e-07,3.0198521308950334e-07,2.3972524808266365e-07,0.0,0.0032686979914913,5.00383643787311e-05,5.713475944387903e-05,53.79165080200005,750,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
2,600.0,1090.0,490.0,4999487.194634385,0.0019452331888313,0.0059277355746677,4999685.382624219,4.28934073273522e-07,1.306617581037418e-06,0.06,0.26,0.15,2.2835830297798474e-07,9.529752520351102e-09,9.120707264663263e-08,1.27621477811001e-07,7.953961574863718e-08,0.0,0.0024692596003909,2.0061900295731987e-08,6.568865945958575e-08,56.87754223799993,750,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
3,1090.0,1776.0,686.0,4999685.382624219,4.28934073273522e-07,1.306617581037418e-06,4999841.536700027,4.992654681698754e-09,1.3615315053915431e-08,0.06,0.26,0.15,7.864580007973579e-07,5.68459228380427e-10,5.02091785456434e-07,2.837977561125435e-07,4.883382635766573e-08,0.0,0.000369617568958,4.181298805571464e-10,2.333339461519814e-10,58.561073136000005,743,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
4,1776.0,2736.4,960.3999999999996,4999841.536700027,4.992654681698754e-09,1.3615315053915431e-08,4999939.346339755,2.839913071090252e-09,7.743046267470065e-09,0.06,0.26,0.15,2.346375974931077e-08,6.402088453806497e-11,5.9760598167115854e-09,1.7423679048061114e-08,4.2622827542082275e-11,0.0,6.112544383163148e-05,4.711639737594974e-10,2.1151407935236918e-10,51.88496236700007,682,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
5,2736.4,4080.959999999999,1344.5599999999995,4999939.346339755,2.839913071090252e-09,7.743046267470065e-09,4999984.1917515015,2.0865789229862074e-09,5.694426135500551e-09,0.06,0.26,0.15,6.045342647784186e-08,5.741753729575701e-10,2.1566882632079328e-08,3.831236847280496e-08,1.3945151998754446e-09,0.0,6.786233764194998e-05,4.036195200677813e-10,1.851353836898952e-10,51.752030719,750,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.1917515015,2.0865789229862074e-09,5.694426135500551e-09,4999997.593467335,1.529620907351204e-09,4.167944427817012e-09,0.06,0.26,0.15,3.4566723971417256e-08,3.746585961289738e-10,1.703151654575114e-08,1.7160548829537143e-08,7.80433957596942e-11,0.0,1.123817617288093e-05,3.460057290360141e-10,1.609952271081053e-10,51.21575682899993,709,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.593467335,1.529620907351204e-09,4.167944427817012e-09,4999999.827577544,1.1118993925303656e-09,3.0223367983468323e-09,0.06,0.26,0.15,2.905000454291485e-08,6.75986495678631e-10,1.39678762543217e-08,1.4406141792914515e-08,5.103944599925584e-10,0.0,2.073562279079836e-06,2.9727053638466736e-10,1.3942261176700848e-10,50.343933676000006,688,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
8,8598.681599999996,11598.681599999996,3000.0,4999999.827577544,1.1118993925303656e-09,3.0223367983468323e-09,4999999.991393691,9.741423073799082e-10,2.6707653297849748e-09,0.06,0.26,0.15,2.6880928816568823e-08,1.583921686934125e-09,1.4243409654990074e-08,1.1053597474644625e-08,1.6363206997380222e-09,0.0,1.755144418334172e-07,2.805474078560494e-10,1.3186789471163738e-10,50.27171207900005,658,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
9,11598.681599999996,14598.681599999996,3000.0,4999999.991393691,9.741423073799082e-10,2.6707653297849748e-09,4999999.999571268,9.780699641482195e-10,2.664083772088101e-09,0.06,0.26,0.15,2.0907694540369026e-08,4.5927096541417e-10,1.1256950503046596e-08,9.191473071908258e-09,5.368675470344242e-10,0.0,7.674663668757206e-09,2.8070919583572103e-10,1.3182023052434533e-10,48.92572695500007,637,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
10,14598.681599999996,17598.681599999996,3000.0,4999999.999571268,9.780699641482195e-10,2.664083772088101e-09,4999999.99997836,9.825292677486544e-10,2.6647702680320052e-09,0.06,0.26,0.15,2.8771611461698472e-08,7.36765350276387e-10,1.9961174549591586e-08,8.0736715618305e-09,8.30658773125228e-10,0.0,4.734527499014995e-10,2.805003674235298e-10,1.3184612734413568e-10,49.9733213329996,679,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
11,17598.681599999996,20000.0,2401.318400000004,4999999.99997836,9.825292677486544e-10,2.6647702680320052e-09,4999999.999997684,1.2119374379385154e-09,3.3154872823533884e-09,0.06,0.26,0.15,4.7832730042620834e-08,7.439836630156583e-09,1.53094813048448e-08,2.5083412107619453e-08,2.7826729255412404e-09,0.0,6.777764294441836e-11,3.0995588296452157e-10,1.4505205626073038e-10,43.66849190399989,414,DFE,0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m0_seed2
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999276.585680136,0.790662955791082,2.413511284909749,0.06,0.26,0.15,3.360736652878011e-05,7.065943031429422e-06,6.864240532614944e-06,1.967718296473574e-05,4.789079617821903e-07,0.0,0.111242666027365,0.0338742037261758,0.0670591257915795,48.76814741999988,638,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
1,250.0,600.0,350.0,4999276.585680136,0.790662955791082,2.413511284909749,4999483.792126597,0.0019391725221533,0.0059090075111473,0.06,0.26,0.15,3.673919183764694e-07,5.9521602149032344e-09,1.9086308686401442e-07,1.705766712975518e-07,2.3969666993860133e-07,0.0,0.0029544369440343,4.76313083503385e-05,5.4320253237010587e-05,50.31604779200006,750,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
