window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals,regime,media_arg,seed,run_dir
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999278.099807673,0.7906412968941479,2.409971020177172,0.06,0.26,0.15,2.5343162979581045e-05,1.7476273449950156e-06,4.752137959647302e-06,1.8843397674938727e-05,3.357063608613779e-07,0.0,0.0435266519910519,0.021887446902855,0.0688015194603275,53.88883146799981,631,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
1,250.0,600.0,350.0,4999278.099807673,0.7906412968941479,2.409971020177172,4999484.693002174,0.0019428927142174,0.0059202225999134,0.06,0.26,0.15,2.0074030822009602e-07,6.8934149171509746e-09,4.3222855902095845e-08,1.506240374008492e-07,1.9654550300905826e-08,0.0,0.0030203812891408,1.0010304614715283e-05,2.9782055925406007e-05,54.87529254299989,750,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
2,600.0,1090.0,490.0,4999484.693002174,0.0019428927142174,0.0059202225999134,4999684.698856715,4.351413948855062e-07,1.325267677333288e-06,0.06,0.26,0.15,4.49315546637805e-07,2.1474871478768708e-08,3.535082209363877e-08,3.924898530653975e-07,1.5437084395231198e-07,0.0,0.0033204018081269,1.0910220942241396e-08,5.218056772418047e-08,50.706799201000194,750,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
3,1090.0,1776.0,686.0,4999684.698856715,4.351413948855062e-07,1.325267677333288e-06,4999841.20014979,4.985556856423768e-09,1.361960500979214e-08,0.06,0.26,0.15,9.181868659988076e-07,9.758148991323368e-09,4.7527538563775466e-07,4.3315333136972956e-07,5.901013988832668e-08,0.0,0.0014802190345911,4.1835295154462767e-10,2.3279926427935526e-10,57.33839687599993,750,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
4,1776.0,2736.4,960.3999999999996,4999841.20014979,4.985556856423768e-09,1.361960500979214e-08,4999939.227551469,2.839608594356826e-09,7.747495438849261e-09,0.06,0.26,0.15,2.988500954961416e-08,5.130953004068531e-10,1.1543340038689044e-08,1.7828574210518267e-08,3.567595093957663e-10,0.0,0.0001661863528875,4.711650793977986e-10,2.11543385907653e-10,51.58535025299989,732,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
5,2736.4,4080.959999999999,1344.5599999999995,4999939.227551469,2.839608594356826e-09,7.747495438849261e-09,4999984.158552859,2.0940802453139093e-09,5.715855633461213e-09,0.06,0.26,0.15,2.6207189136771007e-08,7.017101679618842e-10,1.1614247396109144e-08,1.3891231572699982e-08,5.325747498139445e-10,0.0,6.48488431390871e-05,4.0370673979834365e-10,1.8510641266057658e-10,54.12133951499982,657,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.158552859,2.0940802453139093e-09,5.715855633461213e-09,4999997.590820903,1.5297380052074954e-09,4.170293281372521e-09,0.06,0.26,0.15,2.738533977498418e-08,2.006002412941999e-09,9.575087981622869e-09,1.5804249380419312e-08,5.035789127710254e-10,0.0,2.312677855080107e-05,3.459452869833653e-10,1.6083585269024086e-10,55.157623510999656,702,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.590820903,1.5297380052074954e-09,4.170293281372521e-09,4999999.827194425,1.1084097856990035e-09,3.042542530694557e-09,0.06,0.26,0.15,8.590068751338177e-08,1.9646318480356902e-10,4.220468719347548e-08,4.349953713510272e-08,1.8768302315141314e-09,0.0,1.360266371846432e-06,2.9717906252148205e-10,1.394748205327373e-10,51.9055409460002,720,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
8,8598.681599999996,11598.681599999996,3000.0,4999999.827194425,1.1084097856990035e-09,3.042542530694557e-09,4999999.991409461,9.786603696824768e-10,2.6627931764120596e-09,0.06,0.26,0.15,2.9906517596490375e-08,9.095015114146064e-10,1.0150513363332428e-08,1.884650272174334e-08,1.082208810035121e-09,0.0,1.5413528657386964e-07,2.805976582993035e-10,1.3179475698887175e-10,57.4333930140001,750,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
9,11598.681599999996,14598.681599999996,3000.0,4999999.991409461,9.786603696824768e-10,2.6627931764120596e-09,4999999.999572476,9.77366675407093e-10,2.6650009551364447e-09,0.06,0.26,0.15,1.7190202439074247e-08,1.2369957612091876e-09,5.1505606779899596e-09,1.0802645999875098e-08,5.959194626714797e-10,0.0,6.5642085899274395e-09,2.807767725635213e-10,1.3180185001865119e-10,55.54413488199998,704,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
10,14598.681599999996,17598.681599999996,3000.0,4999999.999572476,9.77366675407093e-10,2.6650009551364447e-09,4999999.999978446,9.805444792987828e-10,2.6750175182569342e-09,0.06,0.26,0.15,4.9165845117267554e-08,6.881425522145392e-10,1.7017748132118872e-08,3.145995443293414e-08,6.366524007884037e-11,0.0,4.804810314047553e-10,2.8086473513211036e-10,1.3184364106422875e-10,52.19194679600014,713,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
11,17598.681599999996,20000.0,2401.318400000004,4999999.999978446,9.805444792987828e-10,2.6750175182569342e-09,4999999.999997704,1.2162689646231872e-09,3.3164167843013517e-09,0.06,0.26,0.15,2.9083545823965386e-08,2.6305534550973914e-09,1.4306995883101114e-08,1.214599648576688e-08,9.087045129194391e-10,0.0,2.803947670598278e-11,3.100455046842273e-10,1.4511455276472002e-10,56.45690824400026,751,DFE,1e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed1
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999276.407004544,0.7913501304785557,2.4095282304504577,0.06,0.26,0.15,2.629186619566353e-05,5.188800592639786e-06,3.48999651624858e-06,1.7613069086775162e-05,6.151274163266393e-07,0.0,0.0892208388790446,0.0215588017063409,0.066207895579363,49.8891836329999,621,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
1,250.0,600.0,350.0,4999276.407004544,0.7913501304785557,2.4095282304504577,4999484.228069149,0.0019581893260567,0.0059664393653643,0.06,0.26,0.15,3.6269361705841083e-07,1.1769695592056051e-08,6.093144505426472e-08,2.899924764120901e-07,1.7142978445226946e-07,0.0,0.0039842079884161,1.536574497259564e-05,6.130886359575299e-05,51.05228516999978,750,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
2,600.0,1090.0,490.0,4999484.228069149,0.0019581893260567,0.0059664393653643,4999684.196951793,4.3420567507305654e-07,1.3225258012379885e-06,0.06,0.26,0.15,3.362296833758874e-07,2.1889926233646666e-08,4.301615495834085e-08,2.713236021838999e-07,2.1726614039049665e-07,0.0,0.0033402828497625,3.536855731937363e-08,9.833552047461413e-08,51.18093567699998,750,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
3,1090.0,1776.0,686.0,4999684.196951793,4.3420567507305654e-07,1.3225258012379885e-06,4999840.973384989,4.987584530895771e-09,1.3611447579291764e-08,0.06,0.26,0.15,9.88281066338575e-07,1.0468894311515386e-09,6.202849006103817e-07,3.6694927629704186e-07,6.158348231468987e-08,0.0,0.0004666903892466,4.177662434302994e-10,2.3275321496120967e-10,50.08937521600001,750,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
4,1776.0,2736.4,960.3999999999996,4999840.973384989,4.987584530895771e-09,1.3611447579291764e-08,4999939.124986442,2.840384581422474e-09,7.741767608478697e-09,0.06,0.26,0.15,3.490944720494331e-08,3.1027330819467957e-10,1.544199276348227e-08,1.9157181133266366e-08,1.1987309671475392e-10,0.0,0.0001417794705595,4.711059888044752e-10,2.115695483450152e-10,51.36294537499998,738,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
5,2736.4,4080.959999999999,1344.5599999999995,4999939.124986442,2.840384581422474e-09,7.741767608478697e-09,4999984.1313680215,2.088937139842875e-09,5.698998988239328e-09,0.06,0.26,0.15,5.387001061227695e-08,2.9175070578907275e-10,1.824180374827833e-08,3.5336456158209535e-08,6.738474584142875e-10,0.0,4.616695932449996e-05,4.036344634067123e-10,1.8513497018440304e-10,50.19166236700039,691,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.1313680215,2.088937139842875e-09,5.698998988239328e-09,4999997.582336434,1.5272650794012954e-09,4.157760289395751e-09,0.06,0.26,0.15,5.727148550043163e-08,1.9646483192449762e-09,2.2625004105930325e-08,3.268183307525632e-08,1.5516477397532495e-09,0.0,2.848351917805983e-05,3.4596679839161147e-10,1.6078342625418667e-10,52.52336431599997,750,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.582336434,1.5272650794012954e-09,4.157760289395751e-09,4999999.826618129,1.107866622028585e-09,3.0202195059701872e-09,0.06,0.26,0.15,3.853549442853477e-08,3.7858778406287084e-10,2.162000654274346e-08,1.6536900101728444e-08,1.1034698725374948e-09,0.0,1.301554240346602e-06,2.9719621990886143e-10,1.3941170877880028e-10,51.32210632599981,750,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
8,8598.681599999996,11598.681599999996,3000.0,4999999.826618129,1.107866622028585e-09,3.0202195059701872e-09,4999999.991371056,9.766935062183484e-10,2.6715608311741643e-09,0.06,0.26,0.15,3.7022473176279846e-08,1.0847465153453195e-09,1.7140454747136508e-08,1.8797271913798013e-08,1.1806046249460935e-09,0.0,2.1285488529595057e-07,2.806022932012944e-10,1.3185215848847379e-10,51.08377559500013,659,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
9,11598.681599999996,14598.681599999996,3000.0,4999999.991371056,9.766935062183484e-10,2.6715608311741643e-09,4999999.999569984,9.75988968980172e-10,2.667879472502728e-09,0.06,0.26,0.15,5.2050358395639926e-08,3.8076460166929556e-10,2.5277832266329756e-08,2.6391761527640876e-08,5.716226070900621e-10,0.0,7.482718121676532e-09,2.8051739184746337e-10,1.3187987277459534e-10,50.19104150599969,656,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
10,14598.681599999996,17598.681599999996,3000.0,4999999.999569984,9.75988968980172e-10,2.667879472502728e-09,4999999.999978383,9.78039429275472e-10,2.673987728558936e-09,0.06,0.26,0.15,5.5441921279116334e-08,4.726483815385925e-09,3.0278848787416274e-08,2.0436588676314132e-08,1.3253809621471532e-09,0.0,9.55857234572375e-10,2.80366157595307e-10,1.318004818382003e-10,53.94870075400013,705,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
11,17598.681599999996,20000.0,2401.318400000004,4999999.999978383,9.78039429275472e-10,2.673987728558936e-09,4999999.999997696,1.2167655085423907e-09,3.3123687198355287e-09,0.06,0.26,0.15,5.677267152152595e-08,2.943235896433605e-09,2.4518247914652905e-08,2.9311187710439442e-08,1.3701453824446163e-09,0.0,2.8475641014946985e-11,3.095662606320429e-10,1.451129135255307e-10,54.40431622300002,751,DFE,1e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed2
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999278.886942864,0.796718320779022,2.431160906448912,0.06,0.26,0.15,2.8920059600101287e-05,2.956516101911341e-06,5.356024864477045e-06,2.06075186337129e-05,8.577046727775324e-07,0.0,0.0648508383342318,0.0329965683358903,0.0671360778356402,49.46125516000029,621,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
1,250.0,600.0,350.0,4999278.886942864,0.796718320779022,2.431160906448912,4999485.483479804,0.0019510573194263,0.00594546092927,0.06,0.26,0.15,2.116843055404041e-07,7.015263621208555e-09,7.73677144556494e-08,1.2730132746354614e-07,1.336290451704221e-07,0.0,0.0030875660273606,3.276302314339004e-05,2.638914394831959e-05,52.9305034479994,750,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
2,600.0,1090.0,490.0,4999485.483479804,0.0019510573194263,0.00594546092927,4999684.684247418,4.359075176043132e-07,1.3276105912124731e-06,0.06,0.26,0.15,4.982079868654997e-07,3.116954753245603e-09,4.3313935819288346e-08,4.517770962929657e-07,1.5637805996932674e-07,0.0,0.0013866279489962,1.227593293510439e-08,6.238834169305609e-08,51.13944322700081,751,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
3,1090.0,1776.0,686.0,4999684.684247418,4.359075176043132e-07,1.3276105912124731e-06,4999841.201447107,4.99297669380451e-09,1.3621098869458697e-08,0.06,0.26,0.15,7.612206930173716e-07,1.0043979299992643e-09,4.571461346474177e-07,3.0307016043995465e-07,6.678795619449175e-08,0.0,0.0004257041405527,4.1822470548711886e-10,2.331184946829078e-10,52.452938997000274,750,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
4,1776.0,2736.4,960.3999999999996,4999841.201447107,4.99297669380451e-09,1.3621098869458697e-08,4999939.2306643175,2.8368184611019873e-09,7.745714989450088e-09,0.06,0.26,0.15,1.1243419811745719e-07,8.003029308029703e-10,4.3874462664117534e-08,6.775943252253667e-08,3.9821067345670124e-10,0.0,0.000193434730798,4.711761005274292e-10,2.116895145028741e-10,52.04594901700057,686,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
5,2736.4,4080.959999999999,1344.5599999999995,4999939.2306643175,2.8368184611019873e-09,7.745714989450088e-09,4999984.164254076,2.091439166036361e-09,5.702735325021369e-09,0.06,0.26,0.15,5.076821470074897e-08,1.2318888119787962e-09,1.2278545490645973e-08,3.725778039812421e-08,4.855230491739271e-10,0.0,9.648280998909874e-05,4.0364092578879814e-10,1.8511831715121935e-10,52.40732392799964,721,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.164254076,2.091439166036361e-09,5.702735325021369e-09,4999997.59029281,1.5304852933310063e-09,4.180071820918468e-09,0.06,0.26,0.15,5.050121334407461e-08,1.1270614545044903e-09,1.9801793913988504e-08,2.9572357975581612e-08,8.775101964725906e-10,0.0,2.603226605157774e-05,3.4615865646303707e-10,1.6097249000460408e-10,52.469950058,690,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.59029281,1.5304852933310063e-09,4.180071820918468e-09,4999999.827434457,1.1028845509266704e-09,3.036634669936434e-09,0.06,0.26,0.15,2.8381423669363704e-08,3.9554133629561156e-10,1.3387737396759912e-08,1.4598144936308184e-08,1.774748940691408e-09,0.0,1.5403228982390104e-06,2.972273619899439e-10,1.3942284808041634e-10,51.777792230999694,705,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
8,8598.681599999996,11598.681599999996,3000.0,4999999.827434457,1.1028845509266704e-09,3.036634669936434e-09,4999999.991405511,9.80366098089373e-10,2.6822143554993822e-09,0.06,0.26,0.15,3.93414348639205e-08,2.9882104856674207e-10,1.09835788315254e-08,2.805903498382836e-08,8.300641621666191e-10,0.0,1.124920077410348e-07,2.806126898299118e-10,1.3190122647394888e-10,53.27549188800003,693,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
9,11598.681599999996,14598.681599999996,3000.0,4999999.991405511,9.80366098089373e-10,2.6822143554993822e-09,4999999.999571668,9.79952762571744e-10,2.666194841685648e-09,0.06,0.26,0.15,4.874875712361007e-08,1.6945921916364222e-10,2.5931288679772976e-08,2.2648009224673453e-08,4.383288360330737e-10,0.0,4.170461177432015e-09,2.8061251293811223e-10,1.3187712540131748e-10,53.50766322400068,703,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
10,14598.681599999996,17598.681599999996,3000.0,4999999.999571668,9.79952762571744e-10,2.666194841685648e-09,4999999.99997842,9.751406589253576e-10,2.6803612211317834e-09,0.06,0.26,0.15,3.983787239999957e-08,3.970271976696073e-10,2.034816855012532e-08,1.909267665220465e-08,1.5852200870908941e-09,0.0,3.939310522016079e-10,2.8035059318149086e-10,1.3180820982909678e-10,51.96870102200046,750,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
11,17598.681599999996,20000.0,2401.318400000004,4999999.99997842,9.751406589253576e-10,2.6803612211317834e-09,4999999.999997701,1.2126810589565116e-09,3.3106437963690093e-09,0.06,0.26,0.15,2.649855001401908e-08,1.5153590585189052e-09,1.0261141758655556e-08,1.4722049196844616e-08,4.0152719062761486e-10,0.0,2.939538757386465e-11,3.0987772054575753e-10,1.4503000432469682e-10,54.48860320400036,750,DFE,6e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed0
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999279.058900785,0.7937257173193534,2.4194021866276314,0.06,0.26,0.15,1.458513261742714e-05,1.7293923264489952e-06,4.17419934942683e-06,8.681540941551315e-06,1.97091068531262e-07,0.0,0.0519214402964669,0.0261674840786969,0.0463325198396492,54.062320301,625,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
1,250.0,600.0,350.0,4999279.058900785,0.7937257173193534,2.4194021866276314,4999485.498135433,0.0019418192265276,0.005917216286221,0.06,0.26,0.15,8.482013188018551e-08,6.181367143135749e-09,1.962142350074043e-08,5.901734123630933e-08,8.833724899974088e-09,0.0,0.0028061107298953,1.027743662012025e-05,2.2277491116655804e-05,52.4933344279998,751,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
2,600.0,1090.0,490.0,4999485.498135433,0.0019418192265276,0.005917216286221,4999684.933010895,4.320912271326412e-07,1.3164306021431948e-06,0.06,0.26,0.15,4.1305974875099276e-07,6.077095216754847e-09,6.397153911174074e-08,3.430111144224971e-07,9.463405856686543e-08,0.0,0.0018369658174855,1.6525592205769476e-08,5.977445383995648e-08,52.91276574600033,751,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
3,1090.0,1776.0,686.0,4999684.933010895,4.320912271326412e-07,1.3164306021431948e-06,4999841.292857103,4.981166137183281e-09,1.3608353702675652e-08,0.06,0.26,0.15,8.959254182487006e-07,8.347190134521042e-09,4.4970310798408564e-07,4.37875120130094e-07,3.5461707238867565e-08,0.0,0.0013711217552925,4.182470797948282e-10,2.3281373736093755e-10,50.66275768700052,751,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
4,1776.0,2736.4,960.3999999999996,4999841.292857103,4.981166137183281e-09,1.3608353702675652e-08,4999939.25339706,2.8391414996889683e-09,7.73946937743617e-09,0.06,0.26,0.15,6.175944050489111e-08,1.0316515579086603e-09,2.4724769453872325e-08,3.6003019493110134e-08,2.0141354812433803e-10,0.0,0.000242871860409,4.709639351230633e-10,2.1170380790354508e-10,52.9792992470002,704,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
5,2736.4,4080.959999999999,1344.5599999999995,4999939.25339706,2.8391414996889683e-09,7.73946937743617e-09,4999984.166684123,2.0919220142594028e-09,5.708856629552918e-09,0.06,0.26,0.15,3.556436218341316e-08,8.216298079800061e-10,1.5325821513258106e-08,1.9416910862175043e-08,1.4123506663759384e-10,0.0,6.66231919920851e-05,4.035710813888164e-10,1.8513971877810437e-10,52.78815604600004,685,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.166684123,2.0919220142594028e-09,5.708856629552918e-09,4999997.588496481,1.5254814385812744e-09,4.168886225555289e-09,0.06,0.26,0.15,4.6981847079690174e-08,9.413051223925508e-10,1.6118860243683873e-08,2.992168171361375e-08,6.084599383880138e-10,0.0,1.6885567087169075e-05,3.459735506972436e-10,1.6090401175584518e-10,54.689954503999616,742,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.588496481,1.5254814385812744e-09,4.168886225555289e-09,4999999.826990787,1.1083623054530856e-09,3.0195881380283702e-09,0.06,0.26,0.15,3.393901501086338e-08,1.483311192986474e-09,1.1195222739671849e-08,2.1260481078205057e-08,3.3627597639989846e-10,0.0,3.412577778452935e-06,2.9734298215700845e-10,1.3946390729965263e-10,53.78220166099982,709,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
8,8598.681599999996,11598.681599999996,3000.0,4999999.826990787,1.1083623054530856e-09,3.0195881380283702e-09,4999999.99138055,9.72224151789633e-10,2.668074569674254e-09,0.06,0.26,0.15,5.91010444878296e-08,4.596300312632962e-10,2.4868312220427283e-08,3.3773102236139015e-08,2.875666806325748e-09,0.0,1.78041496270523e-07,2.8014635508514967e-10,1.3191202071204327e-10,57.494991247000144,741,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
9,11598.681599999996,14598.681599999996,3000.0,4999999.99138055,9.72224151789633e-10,2.668074569674254e-09,4999999.999570732,9.803061920640147e-10,2.6756970639582713e-09,0.06,0.26,0.15,1.2743016000573116e-08,6.951512525336693e-10,5.093022508810713e-09,6.954842239228734e-09,1.7650424760692538e-10,0.0,7.817885191412597e-09,2.8076341761190564e-10,1.318409402196472e-10,54.22636657300063,707,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
10,14598.681599999996,17598.681599999996,3000.0,4999999.999570732,9.803061920640147e-10,2.6756970639582713e-09,4999999.999978377,9.829902896471012e-10,2.678216727853814e-09,0.06,0.26,0.15,2.9287120546384252e-08,4.582026926555676e-10,9.254612145193962e-09,1.9574305708534727e-08,6.534970677196403e-10,0.0,3.5882973576157976e-10,2.8057998268831584e-10,1.3198273551566592e-10,52.998134967000624,688,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
11,17598.681599999996,20000.0,2401.318400000004,4999999.999978377,9.829902896471012e-10,2.678216727853814e-09,4999999.999997695,1.2140062588594115e-09,3.312207397131774e-09,0.06,0.26,0.15,3.4546481050393525e-08,6.761268595795234e-10,1.4305371776119778e-08,1.9564982414694223e-08,2.424665574886329e-10,0.0,1.3703107172302572e-11,3.1015543198397073e-10,1.4501451247848474e-10,55.87644995000028,750,DFE,6e-6,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.0,4999276.853170519,0.7827123109728178,2.3905643110198027,0.06,0.26,0.15,7.620000871652816e-05,1.6702830852386613e-05,2.08013437779108e-05,3.869583408623075e-05,1.7622179515209475e-06,0.0,0.1616754900143362,0.0547501010110412,0.0832258264953142,50.30185941499985,624,DFE,6e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed2
1,250.0,600.0,350.0,4999276.853170519,0.7827123109728178,2.3905643110198027,4999484.244748901,0.0019342054483055,0.0058943052414772,0.06,0.26,0.15,3.654315502617613e-07,2.858529784060303e-09,2.108410881121405e-07,1.5173193236556048e-07,4.544382937742168e-07,0.0,0.0020289840840479,6.539423689063343e-05,3.9004464715565726e-05,55.35113153699968,750,DFE,6e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed2
2,600.0,1090.0,490.0,4999484.244748901,0.0019342054483055,0.0058943052414772,4999683.611635913,4.290948583383172e-07,1.3068695333033727e-06,0.06,0.26,0.15,3.591018156034809e-07,1.2253229400368512e-08,4.319652092637133e-08,3.036520652767411e-07,2.098477944110683e-07,0.0,0.0027974592567624,2.319433045213821e-08,1.0457283952268305e-07,56.37137300299946,750,DFE,6e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed2
3,1090.0,1776.0,686.0,4999683.611635913,4.290948583383172e-07,1.3068695333033727e-06,4999840.68676391,4.982071048924673e-09,1.3597574854464111e-08,0.06,0.26,0.15,9.99760380069546e-07,1.914684019378022e-09,6.344992606674965e-07,3.633464353826714e-07,7.089150782509713e-08,0.0,0.0006527949271731,4.1795740300771967e-10,2.3276931134737567e-10,54.59562214400012,750,DFE,6e-6,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed2
