regime,media_arg,mean,std,min,max
DFE,0,624.5812605976666,11.922134049048822,615.8059123500001,638.1549146710001
DFE,1e-6,622.0653246043336,27.052168766081685,597.7507244060012,651.2055572489999
DFE,6e-6,643.0989699763344,14.331050360305639,627.9256154040022,656.4045621679988
EE,0,624.4155192523345,14.113818900444004,611.9376774720013,639.7333983610006
EE,1e-6,620.8398405069975,31.390602202125056,593.8559981729995,655.2906284439941
EE,6e-6,612.0743374110012,25.67918784195153,584.7730010879986,635.7449089880029
