regime,d,R0,m_label,m,component,n_seeds,rel_l2_mean,rel_l2_sd,rel_l2_min,rel_l2_max,r2_mean,r2_sd,r2_min,r2_max,rmse_mean,rmse_sd,rmse_min,rmse_max,nrmse_mean,nrmse_sd,nrmse_min,nrmse_max,max_abs_error_mean,max_abs_error_sd,max_abs_error_min,max_abs_error_max
DFE,0.1,0.5999999999999999,m=0,0.0,E,3,0.008736580332823166,0.0009074765795255799,0.0079716177830658,0.009739253485663,0.9999211614674725,1.6574452211802236e-05,0.9999027265501408,0.9999348317716726,0.07451135310032557,0.007739562308294856,0.0679872449845498,0.0830628149411538,0.00037255676550156666,3.869781154146538e-05,0.0003399362249227,0.0004153140747057,0.8432685647589011,0.13169108859465203,0.7115064772712287,0.9748885394410536
DFE,0.1,0.5999999999999999,m=0,0.0,I,3,0.012008441889304734,0.0020524735887174216,0.0103446144191304,0.0143020007401784,0.9998468009842473,5.3227939163195465e-05,0.9997868430903512,0.9998884847048888,0.1987914530814173,0.033977281222117836,0.1712479396496436,0.2367597341370137,0.0013931582069117334,0.0002381175219024925,0.0012001294262984,0.0016592452118358,2.0815633212839324,0.3776757373357335,1.826033782655358,2.515379481280064
DFE,0.1,0.5999999999999999,m=0,0.0,S,3,2.5994401508534825e-07,7.298921946868066e-08,2.0985433341579075e-07,3.436888900029879e-07,0.9999709187204638,1.670735681169843e-05,0.9999517010785708,0.9999819929600148,1.2996751723430597,0.36493348908608847,1.0492354165551967,1.718385080727352,0.0017157272499273334,0.0004817560148566095,0.0013851167076826,0.002268474593969,4.9428601115942,1.7317906968372212,3.347113427706063,6.784425653517246
DFE,0.1,0.5999999999999999,m=1e-6,1e-06,E,3,0.006794725452743233,0.0021612535310562334,0.0053563839923687,0.0092800777160773,0.999949460350034,3.2791953138124015e-05,0.99991168297275,0.9999705771577874,0.057945767508731226,0.01843128107368161,0.0456795176888239,0.0791409792108187,0.0002897288375436,9.215640536837423e-05,0.0002283975884441,0.000395704896054,0.6060314675891322,0.16229540731987757,0.4747269702626369,0.7874815831304112
DFE,0.1,0.5999999999999999,m=1e-6,1e-06,I,3,0.010006187318101366,0.0030017870674828684,0.0081405302026916,0.01346888113789,0.9998894022711765,6.797758382340321e-05,0.999810954101808,0.9999309426987786,0.1656325689250754,0.049688626401569104,0.134750318679804,0.2229505917183366,0.0011607902053155333,0.00034822904225204364,0.000944360466675,0.0015624877692564,1.7400072989978383,0.5507403574212992,1.3921221338731868,2.3749779449220227
DFE,0.1,0.5999999999999999,m=1e-6,1e-06,S,3,1.815425368018408e-07,1.304898747402865e-07,6.935325571753086e-08,3.2474504907253093e-07,0.9999818775212973,2.1964890353387576e-05,0.9999568673140792,0.9999980327700289,0.9076813282920076,0.652426835712918,0.3467543000116619,1.6236691559518808,0.0011984077182201,0.0008613963195250243,0.0004578181973203,0.0021437233395449,4.894734517671168,3.612342093174199,2.105609501712024,8.97529807407409
DFE,0.1,0.5999999999999999,m=6e-6,6e-06,E,3,0.0066147419416769,0.00305830815425919,0.0036587642638099,0.0097660196804637,0.9999487353216366,4.2756542056584116e-05,0.9999021935274364,0.9999862721898956,0.0563906400098802,0.026072060813061557,0.0311909459659457,0.0832552660385145,0.00028195320004936666,0.00013036030406528425,0.0001559547298297,0.0004162763301925,0.7701545252342162,0.4918035549210702,0.4593176474359239,1.3371626423123215
DFE,0.1,0.5999999999999999,m=6e-6,6e-06,I,3,0.0085941834763908,0.004072713560528225,0.0041345934035366,0.012116664875663,0.9999115096541528,6.779923954102904e-05,0.9998470102286602,0.999982185984831,0.14220412622647727,0.06738937734301922,0.068413275544659,0.2004890570647099,0.0009966588413785,0.0004723085083828975,0.0004794846517368,0.0014051574776737,1.6475049640950534,0.9041176099742638,0.7297200909720232,2.5373055668190148
DFE,0.1,0.5999999999999999,m=6e-6,6e-06,S,3,9.886255313392307e-08,6.606475341663627e-08,5.519396104809551e-08,1.7486641805948673e-07,0.9999948056029684,6.353046731196702e-06,0.9999874769917114,0.9999987523896604,0.49429570168778936,0.3303123641028223,0.2759602785924356,0.8743019078139236,0.0006530503078150666,0.00043639989244480574,0.0003645913655817,0.0011551043799726,2.7373171454916396,1.0874888122368724,1.68507297988981,3.856919285841286
EE,0.001,1.188118811881188,m=0,0.0,E,3,0.0136286512783094,0.007492749945053232,0.0074626422783214,0.0219677523811205,0.9994337435699935,0.0005780414438439221,0.9987755159955009,0.999858691880948,116.87397443705005,64.25488829808704,63.99669674265694,188.3868387121136,0.0044407615593621665,0.002441438646453683,0.0024316283602901,0.0071579753805079,434.18722580219554,199.53710663293856,259.5019629128192,651.6407757756406
