component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed,run_dir
I,0.0041345934035366,0.999982185984831,0.068413275544659,0.0004794846517368,0.7297200909720232,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed1
S,1.7486641805948673e-07,0.9999874769917114,0.8743019078139236,0.0011551043799726,3.856919285841286,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed2
E,0.0097660196804637,0.9999021935274364,0.0832552660385145,0.0004162763301925,1.3371626423123215,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed2
I,0.012116664875663,0.9998470102286602,0.2004890570647099,0.0014051574776737,2.5373055668190148,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m6e-6_seed2
S,0.0016664773569849,0.9995544449273324,7286.034327527496,0.0060212559047773,27524.16941249277,EE,0.001,1.188118811881188,m=0,0.0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m0_seed0
E,0.0219677523811205,0.9987755159955009,188.3868387121136,0.0071579753805079,651.6407757756406,EE,0.001,1.188118811881188,m=0,0.0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m0_seed0
I,0.022211932472137,0.9987512055467026,378.7794217137142,0.0071990249175289,1296.8186134752325,EE,0.001,1.188118811881188,m=0,0.0,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m0_seed0
S,0.0005487892770838,0.9999516814612068,2399.3710413480503,0.0019828656304685,10136.467204460874,EE,0.001,1.188118811881188,m=0,0.0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m0_seed1
E,0.0074626422783214,0.999858691880948,63.99669674265694,0.0024316283602901,259.5019629128192,EE,0.001,1.188118811881188,m=0,0.0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m0_seed1
I,0.007556513259236,0.999855468946073,128.86099514735525,0.0024491127600499,520.919895018269,EE,0.001,1.188118811881188,m=0,0.0,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m0_seed1
S,0.0008707617305689,0.9998783530496202,3807.072345406143,0.0031462048913335,16451.0837598769,EE,0.001,1.188118811881188,m=0,0.0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m0_seed2
E,0.0114555591754863,0.9996670228335314,98.23838785637962,0.0037326809372885,391.4189387181268,EE,0.001,1.188118811881188,m=0,0.0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m0_seed2
I,0.0116092524127354,0.9996588646071176,197.97223501109423,0.0037626306264888,780.7564917882883,EE,0.001,1.188118811881188,m=0,0.0,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m0_seed2
S,0.0006712411951703,0.999905611369392,2967.4680576300016,0.0030106153131222,11908.292353909465,EE,0.001,1.188118811881188,m=1e-6,1e-06,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m1e-6_seed0
E,0.0107929876835436,0.9996044693355888,79.66596023717888,0.0041233023245854,323.2594425775551,EE,0.001,1.188118811881188,m=1e-6,1e-06,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m1e-6_seed0
I,0.0109885704525619,0.9995928879124208,161.46638944867777,0.0041720980767417,653.4887734257463,EE,0.001,1.188118811881188,m=1e-6,1e-06,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m1e-6_seed0
S,0.0005151188128315,0.9999444124793544,2277.2717675259146,0.0023103835061767,9122.104039528407,EE,0.001,1.188118811881188,m=1e-6,1e-06,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m1e-6_seed1
E,0.0090640744503693,0.999721038850453,66.90438420966174,0.0034627964329477,313.3992593206276,EE,0.001,1.188118811881188,m=1e-6,1e-06,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m1e-6_seed1
I,0.0092196166731099,0.999713412441569,135.47332864948007,0.0035004685237477,634.0966102043276,EE,0.001,1.188118811881188,m=1e-6,1e-06,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m1e-6_seed1
S,0.0003777760969261,0.9999701027369932,1670.0978852762582,0.0016943812604478,6311.318188913167,EE,0.001,1.188118811881188,m=1e-6,1e-06,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m1e-6_seed2
E,0.0058574710482977,0.999883502368127,43.23557751628061,0.0022377607292616,167.62886054229875,EE,0.001,1.188118811881188,m=1e-6,1e-06,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m1e-6_seed2
I,0.0059322485546907,0.9998813493063085,87.16864123255723,0.0022523332668817,336.214208686064,EE,0.001,1.188118811881188,m=1e-6,1e-06,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m1e-6_seed2
S,9.370842484209566e-05,0.9999958886971992,429.9959424872409,0.0007548107576639,1658.181502526626,EE,0.001,1.188118811881188,m=6e-6,6e-06,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m6e-6_seed0
E,0.0020524691213343,0.999973617136902,10.107807714743364,0.0011828613314193,36.01467329663865,EE,0.001,1.188118811881188,m=6e-6,6e-06,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m6e-6_seed0
I,0.0021325575126128,0.9999722029623024,20.936892679957843,0.0012157639107702,75.88143407962889,EE,0.001,1.188118811881188,m=6e-6,6e-06,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m6e-6_seed0
S,0.0001442288915972,0.9999902607229472,661.8171021521608,0.0011617474002682,2810.786651519127,EE,0.001,1.188118811881188,m=6e-6,6e-06,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m6e-6_seed1
E,0.0028806876183758,0.9999480290097692,14.186540606202003,0.0016601730843385,53.56860416744257,EE,0.001,1.188118811881188,m=6e-6,6e-06,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m6e-6_seed1
I,0.0029742434085142,0.9999459307896772,29.20034497538065,0.0016956062270449,110.31627945604124,EE,0.001,1.188118811881188,m=6e-6,6e-06,1,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m6e-6_seed1
S,0.0001135066606592,0.9999939679506986,520.8432818179646,0.0009142833067195,2081.547817444429,EE,0.001,1.188118811881188,m=6e-6,6e-06,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m6e-6_seed2
E,0.0023522158290052,0.9999653484236404,11.58397222936238,0.001355608773044,44.47070713578432,EE,0.001,1.188118811881188,m=6e-6,6e-06,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m6e-6_seed2
I,0.0024241513950902,0.9999640816407626,23.79968525997245,0.0013820006086415,91.75316641117752,EE,0.001,1.188118811881188,m=6e-6,6e-06,2,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/EE_m6e-6_seed2
