component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,1.7486641805948673e-07,0.9999874769917114,0.8743019078139236,0.0011551043799726763,3.856919285841286,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,2
E,0.009766019680463705,0.9999021935274364,0.08325526603851453,0.00041627633019257265,1.3371626423123217,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,2
I,0.01211666487566308,0.9998470102286602,0.2004890570647099,0.0014051574776737185,2.5373055668190148,DFE,0.1,0.5999999999999999,m=6e-6,6e-06,2
