component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,0.00014422889159722602,0.9999902607229472,661.8171021521608,0.0011617474002682728,2810.786651519127,EE,0.001,1.188118811881188,m=6e-6,6e-06,1
E,0.0028806876183758903,0.9999480290097692,14.186540606202003,0.0016601730843385475,53.56860416744257,EE,0.001,1.188118811881188,m=6e-6,6e-06,1
I,0.002974243408514243,0.9999459307896773,29.200344975380652,0.0016956062270449992,110.31627945604123,EE,0.001,1.188118811881188,m=6e-6,6e-06,1
