window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4993857.311127588,461.55940965303466,827.680417334591,0.06,0.161,0.15000000000000002,6.453030170510536e-05,1.3953059075077636e-05,1.5977497109293453e-05,3.459974552073428e-05,2.605189846104176e-06,0.0,0.4057258118456335,0.1469268118648589,0.2559003182558429,49.776715402000264,631
1,250.0,600.0,350.0,4993857.311127588,461.55940965303466,827.680417334591,4949869.193539604,2936.0875576222816,5382.360835091931,0.06,0.161,0.15000000000000002,1.1915309679648832e-07,1.686212311276042e-08,3.2481648596597895e-08,6.980932508713e-08,6.495527296886713e-08,0.0,0.12941843166143302,0.034694832417037545,0.063379581518288,51.628875387001244,750
2,600.0,1090.0,490.0,4949869.193539604,2936.0875576222816,5382.360835091931,4705265.458805667,8626.720434940162,17140.35906909585,0.06,0.161,0.15000000000000002,4.4329453381427236e-08,1.08839648863275e-08,1.470962390869904e-08,1.8735864586400694e-08,5.506053801866451e-09,0.0,0.6767613411068196,0.11467707814157689,0.21001642539824383,51.98466636900048,750
3,1090.0,1776.0,686.0,4705265.458805667,8626.720434940162,17140.35906909585,4456616.843112309,6207.007395698614,12565.983430733617,0.06,0.161,0.15000000000000002,1.0332394242900024e-08,6.718289859819373e-09,1.1825722155868497e-09,2.4315321674938017e-09,7.329737620404962e-10,0.0,2.0370144387098192,0.042152133339577506,0.10615400901115009,50.03388364100101,751
4,1776.0,2736.3999999999996,960.3999999999996,4456616.843112309,6207.007395698614,12565.983430733617,4440260.077963449,4623.757730561401,9259.870988037985,0.06,0.161,0.15000000000000002,1.1295571547978674e-08,1.3871912247565314e-09,1.4862285595856203e-09,8.422151763636523e-09,3.527579485879099e-10,0.0,1.120215522852982,0.03270624294874484,0.14305233580593016,49.49860499299939,750
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4440260.077963449,4623.757730561401,9259.870988037985,4458855.968300104,4730.614328348552,9454.315786195053,0.06,0.161,0.15000000000000002,5.754059527873458e-08,1.1950301997112792e-08,1.2446667508943444e-08,3.314362577267834e-08,6.916406940755736e-08,0.0,3.1928514888625013,0.08345077301057263,0.2536316779919105,49.94808673400075,751
6,4080.959999999999,5963.343999999998,1882.383999999999,4458855.968300104,4730.614328348552,9454.315786195053,4457743.214646887,4807.158657590248,9615.163453830946,0.06,0.161,0.15000000000000002,8.643290541008147e-09,1.7886013878185405e-09,1.7687395631098576e-09,5.085949590079749e-09,7.611021836943947e-09,0.0,1.2242949906458944,0.03216381471228593,0.1016168321237169,49.336429187998874,751
7,5963.343999999998,8598.681599999996,2635.337599999998,4457743.214646887,4807.158657590248,9615.163453830946,4457298.963635188,4792.020160061837,9584.177534049664,0.06,0.161,0.15000000000000002,6.038594167967776e-10,1.2428808756936853e-10,1.7419170318652915e-10,3.0537962604087995e-10,1.1325018822905186e-10,0.0,0.3236209613278499,0.010184300887753853,0.025123409114659098,49.8343623669989,751
8,8598.681599999996,11598.681599999996,3000.0,4457298.963635188,4792.020160061837,9584.177534049664,4457325.79733943,4789.760429185205,9579.52064578918,0.06,0.161,0.15000000000000002,9.863692105892024e-10,3.7915327934710965e-11,7.444613001060836e-10,2.039925825484079e-10,2.6802094186026642e-11,0.0,0.17873806284671576,0.021043986677684725,0.020526588340963544,48.812192760999096,751
9,11598.681599999996,14598.681599999996,3000.0,4457325.79733943,4789.760429185205,9579.52064578918,4457273.89016971,4789.780896587336,9579.645713152453,0.06,0.161,0.15000000000000002,8.938729963576847e-10,2.5131161309950372e-11,6.511473755173921e-10,2.175944595303421e-10,3.736050725704662e-11,0.0,0.14551562091816667,0.019680442566689278,0.021199103583781742,49.91699892499855,751
10,14598.681599999996,17598.681599999996,3000.0,4457273.89016971,4789.780896587336,9579.645713152453,4457293.471162044,4789.677354390349,9579.388497498827,0.06,0.161,0.15000000000000002,3.4797115466390366e-10,1.0963854017803903e-11,2.5334825103297614e-10,8.36590496131236e-11,1.9018522456919173e-11,0.0,0.09611461440714432,0.012275393888980525,0.013144109633502826,50.06054358599977,751
11,17598.681599999996,20000.0,2401.3184000000037,4457293.471162044,4789.677354390349,9579.388497498827,4457305.233644949,4790.221470671783,9580.477030952741,0.06,0.161,0.15000000000000002,1.7203482216171045e-10,1.3964882137590472e-11,1.2311963932290147e-10,3.4950300701218516e-11,1.2696168754189683e-11,0.0,0.1084751903625926,0.008557127108282702,0.008495462299363772,33.9416417350003,56
