window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals
0,0.0,250.0,250.0,4999700.0,200.00000000000003,100.00000000000001,4993782.852931649,478.6779787965324,856.2115878063547,0.06,0.161,0.15000000000000002,3.5396403473699835e-05,1.511428495313883e-05,9.479827229887707e-06,1.0802291290673302e-05,4.0200321430677446e-07,0.0,0.504474961861721,0.11786322674086679,0.176534106132197,48.66707861099985,618
1,250.0,600.0,350.0,4993782.852931649,478.6779787965324,856.2115878063547,4942276.552104878,3724.877350282617,6695.134868175978,0.06,0.161,0.15000000000000002,2.5498449748238927e-07,3.30489087570192e-08,7.731744947953045e-08,1.4461813924583965e-07,2.9376112294956877e-07,0.0,0.30942500291704483,0.049790827823663966,0.0957580118648443,50.21993277399997,751
2,600.0,1090.0,490.0,4942276.552104878,3724.877350282617,6695.134868175978,4363915.579327708,25609.543461746205,49892.94056253697,0.06,0.161,0.15000000000000002,3.270543913231253e-08,2.9332518868260728e-09,1.890316293185958e-08,1.0869024313626875e-08,4.038946966882914e-10,0.0,0.979334423193142,0.26221333974463173,0.32709434044744845,51.49665105500026,750
3,1090.0,1776.0,686.0,4363915.579327708,25609.543461746205,49892.94056253697,3830570.5451680818,5149.222512268044,10975.687891864165,0.06,0.161,0.15000000000000002,7.942583958669087e-08,4.9464796245388013e-08,1.1294090934748336e-08,1.8666952406554525e-08,9.780904544823464e-09,0.0,9.023813981162407,0.33073076414343067,0.9643238768569051,53.32803215199965,750
4,1776.0,2736.3999999999996,960.3999999999996,3830570.5451680818,5149.222512268044,10975.687891864165,4314485.980467435,1978.3655125866364,3892.990257333148,0.06,0.161,0.15000000000000002,2.22361784102971e-08,3.770372841654165e-09,6.837921343663848e-09,1.1627884224979089e-08,1.021270048924903e-09,0.0,2.864068743527215,0.039205162197099165,0.09846018733640102,51.497933417999775,750
5,2736.3999999999996,4080.959999999999,1344.5599999999995,4314485.980467435,1978.3655125866364,3892.990257333148,4196797.44856606,10989.582786931469,22010.123787076885,0.06,0.161,0.15000000000000002,2.8162772845697965e-07,1.445843015870922e-07,4.296957942195301e-08,9.407384744793445e-08,1.2565350566317552e-08,0.0,12.335836913095225,0.1935463641049055,0.5991029760640849,52.94098639800086,750
6,4080.959999999999,5963.343999999998,1882.383999999999,4196797.44856606,10989.582786931469,22010.123787076885,4270662.714209819,5786.658650291515,11459.400765399232,0.06,0.161,0.15000000000000002,2.1102552257591222e-07,6.519723489427863e-08,3.3516291683834346e-08,1.1231199599779924e-07,4.173567446178149e-08,0.0,11.089755553316573,0.21048552780329458,0.7048237847660191,54.319338412000434,750
7,5963.343999999998,8598.681599999996,2635.337599999998,4270662.714209819,5786.658650291515,11459.400765399232,4222129.175214816,6106.733740488404,12187.285132731182,0.06,0.161,0.15000000000000002,3.4085178395671217e-07,8.845148741497262e-08,6.568224263790277e-08,1.8671805390383675e-07,4.52951117197336e-07,0.0,11.625900931270273,0.2601746849508187,0.8409373052692872,50.02150982400053,751
8,8598.681599999996,11598.681599999996,3000.0,4222129.175214816,6106.733740488404,12187.285132731182,4214432.580592375,6459.228915745358,12906.301417815224,0.06,0.161,0.15000000000000002,2.0585313310488148e-08,6.873639418233867e-09,4.072925324515675e-09,9.638748567738607e-09,2.2363927169897695e-09,0.0,3.3038355194487754,0.06765254395474161,0.19247954012060556,54.66849150500002,750
9,11598.681599999996,14598.681599999996,3000.0,4214432.580592375,6459.228915745358,12906.301417815224,4209197.839074834,6670.357216895725,13339.353183363846,0.06,0.161,0.15000000000000002,3.4535389546506405e-08,1.6718057399807075e-08,4.779850738433421e-09,1.3037481408265907e-08,2.6201677512065184e-08,0.0,5.146798714214521,0.07235717814829182,0.22292436329864365,51.078203441999904,750
10,14598.681599999996,17598.681599999996,3000.0,4209197.839074834,6670.357216895725,13339.353183363846,4207479.242495396,6604.592600905515,13211.114662613896,0.06,0.161,0.15000000000000002,7.141924541044015e-09,4.898323169269802e-09,7.88150203760918e-10,1.4554511680132954e-09,2.848623058259002e-09,0.0,2.8005029684764176,0.0299910367670786,0.07597828562903837,52.64791659999992,751
11,17598.681599999996,20000.0,2401.3184000000037,4207479.242495396,6604.592600905515,13211.114662613896,4208304.768314063,6591.152640172765,13182.337252980933,0.06,0.161,0.15000000000000002,1.3260486825473016e-09,2.476574039430012e-10,8.578514555419013e-10,2.2053982306239917e-10,4.733019577543409e-10,0.0,0.6294451736695398,0.031122231404820355,0.029403313152644387,50.689407733000735,750
