component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,0.0006712411951703836,0.9999056113693919,2967.4680576300016,0.0030106153131222876,11908.292353909463,EE,0.001,1.188118811881188,m=1e-6,1e-06,0
E,0.010792987683543663,0.9996044693355889,79.66596023717888,0.004123302324585492,323.2594425775551,EE,0.001,1.188118811881188,m=1e-6,1e-06,0
I,0.010988570452561934,0.9995928879124208,161.46638944867775,0.004172098076741757,653.4887734257463,EE,0.001,1.188118811881188,m=1e-6,1e-06,0
