component,rel_l2,r2,rmse,nrmse,max_abs_error,regime,d,R0,m_label,m,seed
S,1.5052930561546063e-07,0.9999907324797841,0.7526205289124805,0.0009936816177951347,3.60329597722739,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,2
E,0.00535638399236876,0.9999705771577874,0.04567951768882395,0.00022839758844411977,0.5558858493743486,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,2
I,0.008140530202691617,0.9999309426987786,0.13475031867980405,0.000944360466675011,1.3921221338731868,DFE,0.1,0.5999999999999999,m=1e-6,1e-06,2
